"male","age","land","agef","landf"
1,33,5,72,10
1,36,3,NA,NA
1,42,7,92,100
0,73,5,NA,NA
1,34,7,84,90
0,34,10,84,300
0,32,18,84,90
1,52,17,84,300
1,74,33,NA,NA
0,23,NA,79,32
1,23,NA,87,45
0,31,20,84,300
1,48,40,NA,NA
0,34,20,NA,NA
1,32,3,73,20
1,35,5,85,70
1,41,4,79,32
1,48,3,73,20
0,43,6,71,30
1,48,11,75,50
1,47,7,85,100
1,17,NA,79,45
1,38,10,NA,NA
0,73,7,NA,NA
0,60,6,87,45
0,45,14,74,33
1,37,4,77,30
1,78,20,NA,NA
0,39,7,NA,NA
0,63,14,93,150
1,39,4,79,32
1,40,7,85,100
1,54,5,87,45
1,47,5,NA,NA
0,53,8,90,160
1,38,9,80,55
0,36,12,74,33
0,41,20,79,32
1,47,17,84,300
1,81,62,NA,NA
0,80,4,NA,NA
1,50,4,76,20
0,36,4,87,45
1,34,4,79,32
0,37,6,85,70
0,73,5,NA,NA
0,53,4,NA,NA
1,51,2,78,20
1,71,30,NA,NA
1,63,80,NA,NA
1,39,15,NA,NA
0,36,NA,85,70
1,54,7,NA,NA
0,75,12,NA,NA
1,45,10,90,160
0,46,12,93,150
0,54,NA,93,150
1,65,15,NA,NA
1,53,4,76,20
1,40,5,87,45
0,37,18,73,15
0,70,10,NA,NA
1,78,100,NA,NA
1,46,5,87,45
0,41,8,68,160
1,40,6,74,33
0,34,10,84,300
1,35,14,NA,NA
0,40,NA,90,160
1,32,10,66,25
0,35,4,79,45
1,31,10,90,20
1,33,6,NA,NA
0,39,8,66,25
0,61,NA,93,150
1,35,2,NA,NA
1,63,25,NA,NA
1,54,3,83,20
1,56,16,93,150
0,45,14,72,10
1,34,6,71,30
0,33,12,90,20
1,40,17,84,300
0,36,4,85,70
1,32,15,85,70
1,55,7,85,100
0,46,14,92,100
0,15,NA,68,160
1,35,3,71,30
0,43,NA,75,50
0,34,7,NA,NA
1,92,100,NA,NA
1,55,15,NA,NA
1,45,2,79,45
1,43,7,NA,NA
1,45,4,NA,NA
1,44,11,75,50
0,32,6,73,120
0,48,5,NA,NA
0,46,8,75,50
1,64,40,93,150
0,28,NA,85,100
1,62,8,90,160
1,34,10,NA,NA
0,53,NA,83,20
0,75,2,NA,NA
0,31,20,92,100
1,34,4,NA,NA
0,37,8,90,160
1,80,55,NA,NA
1,32,13,68,160
1,79,45,NA,NA
0,35,12,75,50
1,50,5,85,70
0,32,6,72,10
1,36,4,NA,NA
0,44,13,NA,NA
1,47,17,84,300
1,37,3,71,30
1,30,NA,93,150
0,35,9,NA,NA
0,37,5,NA,NA
1,45,7,NA,NA
1,42,7,85,100
0,40,4,72,10
1,33,2,90,20
1,66,80,NA,NA
0,76,4,NA,NA
1,40,3,NA,NA
1,33,4,79,32
1,44,13,68,160
1,47,6,NA,NA
0,32,6,75,50
1,44,7,NA,NA
1,42,4,76,20
1,50,17,84,300
0,18,NA,75,50
0,77,6,NA,NA
1,58,60,NA,NA
1,33,8,NA,NA
0,36,6,90,160
1,19,NA,79,45
1,51,6,74,33
1,36,6,NA,NA
1,61,7,92,100
1,40,5,85,70
0,49,4,85,100
1,50,3,83,20
1,51,10,90,160
1,51,4,77,30
1,41,3,NA,NA
1,40,13,68,160
0,54,20,76,20
1,48,13,68,160
0,34,4,75,50
1,63,7,90,160
0,17,NA,84,90
0,30,4,90,160
1,47,7,NA,NA
0,34,2,90,20
1,33,NA,83,20
1,67,14,93,150
1,41,5,85,70
0,30,NA,79,45
0,35,NA,76,20
0,46,20,76,20
0,39,NA,84,90
1,93,150,NA,NA
1,49,25,NA,NA
1,47,4,79,32
0,53,16,83,20
0,37,2,83,20
1,42,6,NA,NA
1,31,10,72,10
0,17,NA,90,20
1,49,4,79,32
1,41,11,75,50
0,30,6,NA,NA
0,39,18,73,15
1,36,2,90,20
1,31,7,84,90
1,42,5,NA,NA
1,55,3,83,20
1,47,10,90,160
0,76,13,NA,NA
0,34,12,92,100
0,21,NA,79,45
0,30,18,NA,NA
1,34,2,79,45
1,59,2,85,100
0,46,8,74,33
0,57,19,NA,NA
1,51,4,79,32
0,31,24,84,300
0,27,NA,73,15
1,83,20,NA,NA
1,53,7,NA,NA
0,18,NA,90,20
0,36,10,79,45
1,36,4,NA,NA
0,36,12,NA,NA
0,71,4,NA,NA
1,33,10,NA,NA
1,53,27,NA,NA
0,30,4,73,120
0,35,10,90,160
1,84,300,NA,NA
0,50,NA,92,100
