"id","sex","age","rs","fid","agef","daddiff","rsf","mid","agem","mumdiff","rsm"
"p7gf1","m",94.7205505371094,NA,NA,NA,NA,NA,NA,NA,NA,NA
"h6d8f","m",33.1178092956543,4.6399998664856,"b02l0",68.1095886230469,34.9917793273926,11,"xp23u",51.0356178283691,17.9178085327148,8
"lcs2k","f",27.6739730834961,0.819999992847443,"jjux9",61.6958885192871,34.0219192504883,8,"x7fgu",58.6958885192871,31.0219173431396,8
"wwce8","f",64.6986312866211,3,NA,NA,NA,NA,"g2pfn",83.709587097168,19.0109596252441,3
"dw6ou","m",30.6767120361328,1.82000005245209,"lxdio",NA,NA,NA,"sugb4",58.0410957336426,27.3643836975098,7
"indzt","m",19.758903503418,0,"qqwmq",69.7013702392578,49.9424667358398,5,"zjnn6",64.6986312866211,44.9397277832031,5
"ipnr9","f",21.8109588623047,1.63999998569489,"rb1sk",62.1863021850586,40.3753433227539,6,"ov36g",56.6931495666504,34.8821907043457,6
"e5k1x","m",22.6712322235107,0,"peio9",62.6986312866211,40.0273971557617,8,NA,NA,NA,NA
"irhco","f",58.6958885192871,1,NA,NA,NA,NA,NA,NA,NA,NA
"ka6ve","m",49.7643852233887,5,"yv3ox",79.0547943115234,29.2904109954834,5,"vjtmu",83.5726013183594,33.808219909668,5
"eggcw","f",47.687671661377,9,"bmle3",72.7041091918945,25.0164375305176,3,"yqf1p",37.024658203125,-10.663013458252,3
"hw5jr","m",38.5397262573242,6.6399998664856,"a9li1",81.5369873046875,42.9972610473633,8,"siwhu",71.1600036621094,32.6202735900879,8
"wxi60","m",20.7616443634033,0,NA,NA,NA,NA,"zgmtc",48.687671661377,27.9260272979736,9
"am7vh","m",58.1835632324219,2.8199999332428,"svjgk",69.8000030517578,11.6164379119873,7,"shmnm",80.5780792236328,22.3945198059082,8
"gbyfp","f",17.6520557403564,1.63999998569489,"ujhge",41.0027389526367,23.3506851196289,5,"yfjjf",36.9890403747559,19.336986541748,3
"cif64","f",18.6712322235107,0.819999992847443,NA,NA,NA,NA,NA,NA,NA,NA
"lxdio","m",56.7013702392578,NA,NA,NA,NA,NA,NA,NA,NA,NA
"t9ov3","f",56.6931495666504,6,NA,NA,NA,NA,"x6d95",NA,NA,NA
"a9li1","m",81.5369873046875,8,NA,NA,NA,NA,NA,NA,NA,NA
"ddmko","m",42.7753410339355,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ia1rj","f",25.6712322235107,1.82000005245209,"r71dn",59.6958885192871,34.024658203125,6,"t9ov3",56.6931495666504,31.0219173431396,6
"tarsl","f",76.7068481445312,5,NA,NA,NA,NA,NA,NA,NA,NA
"ozdtw","m",40.7726020812988,6.6399998664856,NA,NA,NA,NA,NA,NA,NA,NA
"wl7nr","f",16.7424659729004,NA,"yk1g9",58.6958885192871,41.953426361084,7,"v2avr",32.6027412414551,15.8602743148804,5
"gkjgl","f",20.7452049255371,0.819999992847443,NA,NA,NA,NA,NA,NA,NA,NA
"jtzpr","m",23.6712322235107,0,"s6ywf",52.6904106140137,29.0191783905029,6,"il6db",51.6904106140137,28.0191783905029,6
"fi5po","f",25.7479457855225,1,"hpzze",52.6767120361328,26.9287662506104,11,"zxq97",49.0684928894043,23.3205471038818,6
"q5idv","f",30.7671241760254,1.63999998569489,NA,NA,NA,NA,NA,NA,NA,NA
"kbev9","f",49.5013694763184,5,NA,NA,NA,NA,NA,NA,NA,NA
"tlt0r","m",35.3232879638672,0,"frfis",69.6109619140625,34.287670135498,8,"veo3p",58.5862998962402,23.2630138397217,4
