"male","age","RS","agef","RSf"
1,33,19,73,12
0,38,NA,68,26
1,54,12,NA,NA
1,54,9,83,14
0,35,NA,76,9
0,77,7,NA,NA
0,37,6,75,17
0,41,5,73,22
0,57,2,83,14
1,58,41,NA,NA
1,31,8,85,21
0,46,7,93,25
1,44,9,77,14
1,43,8,80,14
1,45,7,90,31
0,37,6,90,31
0,36,6,74,13
0,36,4,92,29
1,41,7,73,12
0,43,9,85,21
1,53,7,76,9
0,49,6,78,16
1,33,NA,83,14
1,33,5,72,6
1,42,17,71,24
1,17,NA,79,23
0,73,5,NA,NA
0,21,NA,92,29
0,30,6,NA,NA
1,32,3,79,23
1,35,5,66,10
0,56,NA,90,31
1,44,6,87,21
1,45,8,79,23
1,47,17,84,41
1,40,3,84,41
1,55,9,85,32
0,39,6,74,13
1,41,9,85,21
1,90,23,NA,NA
1,84,24,NA,NA
1,67,13,93,25
1,55,9,84,41
0,75,5,NA,NA
0,21,NA,79,23
0,34,1,85,21
0,42,NA,73,22
1,33,5,84,24
1,35,4,68,26
0,51,9,76,9
1,33,6,NA,NA
1,34,6,79,23
0,33,NA,73,11
1,50,8,85,21
1,36,5,90,23
0,59,5,83,14
1,11,NA,84,24
0,45,9,68,26
1,31,4,84,41
1,37,8,79,20
0,31,8,84,41
1,43,6,NA,NA
1,51,1,78,16
0,28,NA,79,20
1,47,6,85,21
0,28,NA,85,32
0,30,NA,79,23
1,36,12,NA,NA
0,50,9,84,24
1,50,7,84,41
1,50,6,76,9
0,61,NA,93,25
0,17,NA,84,24
1,41,8,66,10
0,28,NA,79,20
1,35,6,75,17
1,41,5,90,23
1,93,25,NA,NA
0,44,10,NA,NA
1,35,3,85,21
1,35,7,87,21
1,45,12,73,22
0,30,6,NA,NA
1,55,9,85,32
1,42,6,NA,NA
1,33,1,75,17
0,45,8,72,6
0,32,NA,93,25
1,34,8,90,31
0,36,7,84,41
1,51,9,85,32
1,48,13,75,17
1,85,21,NA,NA
0,34,5,84,41
0,59,9,NA,NA
0,48,8,NA,NA
1,47,7,NA,NA
0,35,9,72,6
1,49,12,NA,NA
0,34,6,73,12
0,53,9,80,14
0,34,5,NA,NA
1,47,9,NA,NA
1,36,7,66,10
1,42,9,78,16
1,52,6,80,14
1,40,8,74,13
0,54,11,76,9
1,32,6,85,21
1,44,12,74,13
1,33,8,68,26
0,53,9,83,14
1,34,5,NA,NA
1,56,10,90,31
1,79,23,NA,NA
0,29,NA,84,24
1,44,6,NA,NA
1,56,9,84,41
1,40,12,74,13
1,32,0,80,14
0,34,4,90,23
1,40,1,85,21
0,36,4,90,31
0,35,3,90,31
0,41,4,68,26
1,38,4,75,17
1,51,20,NA,NA
0,46,7,73,22
1,62,11,90,31
1,54,4,87,21
1,41,2,NA,NA
1,34,4,71,24
0,17,NA,85,21
1,72,6,NA,NA
0,60,4,87,21
1,40,13,NA,NA
1,83,14,NA,NA
1,51,9,74,13
1,66,4,90,31
0,30,6,NA,NA
1,45,7,80,14
0,38,8,71,24
0,44,4,90,23
1,83,32,NA,NA
1,58,8,87,21
1,60,9,93,25
1,38,5,73,11
0,35,6,68,26
0,57,8,93,25
1,59,5,93,25
1,59,23,NA,NA
1,60,16,NA,NA
0,15,NA,84,24
1,32,10,NA,NA
1,61,12,92,29
1,40,3,87,21
1,44,4,92,29
0,30,3,90,31
1,34,6,78,16
0,74,9,NA,NA
1,46,6,75,17
1,78,23,NA,NA
1,19,NA,79,23
1,49,5,79,20
0,35,NA,85,32
1,33,4,NA,NA
0,51,6,87,21
0,44,NA,74,13
0,39,NA,84,24
1,43,6,NA,NA
1,47,5,84,41
1,34,8,NA,NA
0,41,10,79,20
1,37,5,71,24
0,15,NA,68,26
0,39,NA,93,25
1,58,6,NA,NA
1,90,31,NA,NA
1,51,20,93,25
0,21,NA,84,41
1,31,7,84,24
1,44,5,68,26
1,37,7,73,12
0,13,NA,90,31
1,41,8,90,31
1,40,6,84,24
0,54,NA,93,25
0,39,NA,77,14
1,61,17,NA,NA
1,39,6,73,12
0,46,6,77,14
0,32,3,75,17
0,46,7,92,29
0,21,NA,79,23
0,33,0,66,10
0,17,NA,90,23
1,47,14,79,20
1,37,8,77,14
1,50,5,80,14
1,13,NA,68,26
1,42,11,92,29
0,46,9,74,13
0,76,4,NA,NA
1,44,10,75,17
1,14,NA,79,23
0,34,4,87,21
1,79,20,NA,NA
1,46,8,87,21
0,40,NA,90,31
1,36,7,NA,NA
0,37,6,77,14
1,44,9,92,29
1,33,3,90,23
0,73,6,NA,NA
1,43,4,90,23
1,76,9,NA,NA
0,37,6,92,29
1,33,5,75,17
0,69,6,NA,NA
1,80,14,NA,NA
1,45,10,83,14
0,34,5,84,41
1,87,21,NA,NA
0,41,5,NA,NA
1,39,2,71,24
1,41,9,79,20
0,33,6,74,13
0,54,4,NA,NA
0,42,9,NA,NA
0,75,5,NA,NA
0,31,8,NA,NA
1,32,4,68,26
1,66,24,NA,NA
0,53,4,NA,NA
1,33,3,78,16
1,38,14,68,26
1,73,12,NA,NA
0,50,5,79,20
0,21,NA,66,10
1,74,13,NA,NA
1,31,24,73,12
0,50,8,85,21
0,81,6,NA,NA
0,37,4,85,21
0,35,5,75,17
1,77,14,NA,NA
0,42,4,83,14
1,85,32,NA,NA
1,49,6,74,13
1,32,6,73,22
1,61,21,84,41
1,47,12,85,32
1,33,6,90,23
0,23,NA,78,16
1,23,NA,87,21
1,21,NA,73,22
0,45,NA,93,25
0,18,NA,90,23
0,36,NA,84,41
0,42,6,75,17
1,38,10,85,21
0,58,6,85,32
1,42,7,76,9
0,39,4,66,10
1,45,4,NA,NA
0,21,NA,71,24
1,58,13,84,41
1,39,5,85,32
1,38,7,NA,NA
1,42,8,85,32
1,30,4,NA,NA
1,34,4,84,24
1,55,7,90,31
0,44,8,73,11
0,30,NA,79,23
0,40,7,93,25
0,53,NA,84,41
1,60,10,NA,NA
1,56,5,93,25
1,34,4,90,31
1,53,14,NA,NA
1,63,25,NA,NA
0,35,NA,79,20
1,44,9,NA,NA
1,32,4,71,24
0,42,NA,73,22
0,46,5,75,17
1,78,31,NA,NA
0,36,7,71,24
0,39,NA,80,14
0,36,7,NA,NA
0,46,8,79,23
0,27,NA,90,31
0,44,8,85,32
0,63,11,93,25
