"id","sex","networkwealth","yb","networkwealthp","ybp","idp","parent_is_mother"
"oz8bs",2,5.7435188293457,1983,1.85925447940826,1965,"rghxj",1
"od6ky",2,1.66682922840118,1976,1.87396240234375,1951,"rxzqq",0
"r4j0u",1,2.55888485908508,1960,0.383934497833252,1940,"h9cme",1
"pdmd7",2,2.1519889831543,1976,1.74958491325378,1943,"beoif",0
"lg046",1,8.59210014343262,1969,1.24252486228943,1947,"jx0zn",0
"nopke",2,2.93130993843079,1972,1.81874918937683,1942,"np67c",0
"wuhnb",2,3.95171546936035,1978,2.21106839179993,1957,"k7oo4",0
"dz602",2,2,1980,0.628825843334198,1952,"hftav",1
"wmx2y",1,3.03195834159851,1970,3.40658068656921,1948,"bfgby",0
"dhcmn",1,1.75297915935516,1967,20.5247097015381,1920,"xps4w",0
"g8fhz",2,1.96226012706757,1961,32.9949645996094,1925,"s6rbd",0
"gcqst",1,3.08391356468201,1966,2.25049090385437,1947,"ydjlj",1
"czr56",2,2.33377075195312,1972,1.23058557510376,1945,"gp1z4",0
"e8ot4",2,0.263568371534348,1975,3.86775994300842,1943,"m8663",1
"cx5mz",2,2.63981413841248,1973,1.83342266082764,1942,"ukq18",0
"c0gy8",1,2.49663209915161,1972,4.27822351455688,1944,"nqax3",1
"i7lh9",2,15.2706537246704,1973,7.70075511932373,1934,"lddji",1
"yeeu6",1,6.1047887802124,1969,2.88829469680786,1935,"blrre",0
"p6isl",2,3.07227563858032,1956,23.3052787780762,1931,"ae6fu",0
"hpo4j",1,9.36336135864258,1957,9.87881374359131,1927,"js942",1
"ewvls",1,4,1947,5.77445554733276,1912,"lixd9",0
"yznoi",1,1.87396240234375,1970,2.06566667556763,1950,"qxw7z",1
"r3h54",1,3.39577293395996,1978,6.2051305770874,1958,"hgq9i",1
"kc3qa",2,0.856301784515381,1966,4.13468503952026,1947,"w7syq",1
"b7hbz",2,4.17370510101318,1966,3.799471616745,1950,"ie5bl",1
"hf2xh",1,2.11831331253052,1972,3.10631227493286,1947,"hknc0",1
"fqgyu",1,2.58480167388916,1974,5.34182357788086,1937,"gp6d7",0
"q7ft9",1,12.9480991363525,1970,1.02116692066193,1942,"mp4sq",0
"zuegi",2,2.64161157608032,1959,4.74167776107788,1935,"a8krl",0
"ys9ho",2,2.00487327575684,1971,3.32650804519653,1950,"u0tdh",1
"pk0xc",1,3.17747020721436,1967,3.621262550354,1926,"f0rk4",0
"g4npl",2,2.16403245925903,1957,20.1808242797852,1922,"l6n5d",0
"lbhz8",2,2.05508089065552,1965,5.6013970375061,1935,"bv3lr",0
"w2k2u",2,1.52898406982422,1978,7.106041431427,1954,"f136p",1
"pwfkf",2,1.03517949581146,1964,3.96570158004761,1932,"q8wk6",0
"j5ox3",2,1.6359121799469,1983,7.27035045623779,1942,"cdik6",0
"lqik4",1,3.40969157218933,1972,1.83674597740173,1952,"b39j7",0
"q3yxc",1,11.3374643325806,1975,2.19674205780029,1958,"nupxp",1
"o7h3u",1,2.28393387794495,1976,1.64706599712372,1950,"ip64c",0
"kx8oh",2,7.13486671447754,1975,7.106041431427,1954,"f136p",1
"akep3",2,3.44840025901794,1973,1.5,1952,"wwebp",1
"r0iju",1,2.92864871025085,1977,4.40969181060791,1946,"em4d5",0
"zv22f",1,2.37258172035217,1946,3.94078588485718,1925,"ltpz5",1
"vxzbm",2,4.66754150390625,1973,1.76972079277039,1950,"u7mel",1
"jwwgh",2,4,1967,3.55066084861755,1932,"qt07d",0
"ic0o4",1,3.37797451019287,1962,4.32068634033203,1938,"aorjp",0
"tbnf2",2,3.83863925933838,1974,0.605164468288422,1944,"a1iue",1
"elcp1",2,2.58873510360718,1982,2.64789175987244,1959,"h2wpd",1
"pzoip",1,1.52884936332703,1972,2.59470772743225,1946,"ugpa3",0
"am8tf",1,4,1972,3.10631227493286,1949,"wxovl",1
"y6925",2,3,1967,3,1934,"u16xs",0
"g8fhz",2,1.96226012706757,1961,18.8832607269287,1938,"bvtr5",1
"dw8c3",2,0.910704255104065,1972,3.00067043304443,1948,"l00m5",1
"e4u35",2,9.00484752655029,1963,8.0715274810791,1929,"l6aff",0
"cmpkh",2,NA,1974,5.00553417205811,1954,"stkl4",1
"iuigy",2,1.19111788272858,1949,20.1808242797852,1922,"l6n5d",0
"aqtz9",1,2.53298115730286,1981,0.635479271411896,1958,"llmcx",0
"vmzbr",2,4.70547151565552,1981,8.5550537109375,1956,"gvx81",1
"ve1kc",2,1,1975,2.16791987419128,1941,"faah5",0
"qu4sc",1,1.00340890884399,1959,5,1929,"hu8g7",0
"rc0an",1,3.17747020721436,1962,3.621262550354,1926,"f0rk4",0
"nlnpg",1,3.18483686447144,1966,1.32242798805237,1936,"dqy24",0
"g34mc",1,3.96750783920288,1965,2.09251856803894,1947,"kmfk7",1
"shk5a",2,1,1973,0.380923360586166,1940,"zmhoq",1
"j5wnq",2,1.83033728599548,1967,18.3776969909668,1941,"le0rb",1
"jwzcw",2,0.639918565750122,1972,1.96364367008209,1950,"wmpgt",0
"hg57i",1,7,1972,5,1941,"yrkin",1
"dfap5",1,8.74386405944824,1965,0.919174313545227,1928,"gwf4b",0
"idewe",1,14.1624851226807,1970,2,1944,"pnw5v",1
"txdro",2,3.48504972457886,1983,1.86378741264343,1969,"hvkkl",1
"kj24h",1,2.55726861953735,1976,3,1938,"xlesa",0
"o0aag",2,3,1941,4,1920,"tiwen",1
"twnh9",1,1.58873510360718,1962,5.38264989852905,1944,"ls0ok",1
"mw478",1,0.60929548740387,1956,1.50830101966858,1938,"dvn54",1
"kx8oh",2,7.13486671447754,1975,5.27186918258667,1951,"hkhap",0
"nz3wn",2,3.15637683868408,1974,1.5,1952,"wwebp",1
"q2r30",1,3.31557869911194,1964,10.3524227142334,1943,"p9gfa",1
"k4srd",1,7.47281742095947,1978,0.925788640975952,1955,"afkrm",1
"w3q61",1,1.09997653961182,1975,2.77205991744995,1954,"orbjr",1
"lqte9",2,1.62849771976471,1979,6.86898183822632,1964,"lca7n",1
"lu8ng",1,3.55381846427917,1973,7.106041431427,1954,"f136p",1
"jnei0",2,1.48774313926697,1972,7.60352420806885,1950,"x4m7c",0
"j7doz",2,1.34968364238739,1976,2.82170367240906,1946,"aiqjk",0
"oeql1",1,4,1976,0.775041520595551,1956,"xp27r",1
"uuixr",1,2.3016049861908,1965,1.56178224086761,1941,"siuo9",1
"twnh9",1,1.58873510360718,1962,3,1938,"xlesa",0
"zh521",2,0.54167377948761,1971,1.69382953643799,1954,"a0ght",1
"s6i8f",2,4.03033924102783,1973,14.8319034576416,1940,"p7zgm",0
"v38cc",1,4.09851360321045,1952,9.87881374359131,1927,"js942",1
"lfkcg",2,2.03491187095642,1976,6.21229028701782,1952,"eqgs8",1
"gqg88",1,2.05866074562073,1972,1.23634326457977,1942,"nt9rv",0
"ynlpd",2,1.93639814853668,1971,0.760848224163055,1945,"q7pxr",0
"grehe",2,3.22454714775085,1972,0.605164468288422,1944,"a1iue",1
"m579p",2,2,1954,20.5247097015381,1920,"xps4w",0
"j5wnq",2,1.83033728599548,1967,8.0715274810791,1929,"l6aff",0
"tosqa",1,2.08017158508301,1971,1.58771967887878,1942,"whs5i",0
"br47c",1,8.22712993621826,1978,4,1943,"q0tbk",0
"zod67",2,3,1976,3.50249028205872,1940,"duu4w",0
"b15cj",1,3.80686211585999,1976,1.32626080513,1950,"dtlsu",0
"sflwp",2,0.885852873325348,1973,2.25297403335571,1942,"g444s",1
"nwxcy",2,0.995157718658447,1976,1.86378741264343,1937,"m2e1g",0
"w5vi7",2,4.27332162857056,1972,3,1947,"ydeaw",1
"f60cu",1,1,1967,0.626820027828217,1950,"uzjkz",1
"bhw0u",1,3.52601003646851,1954,5,1929,"hu8g7",0
"ao1ej",1,3.24681782722473,1957,2.85242295265198,1930,"bpad4",1
"v3p2l",1,1.37654411792755,1965,2.36161088943481,1928,"xd37s",0
"nsucz",1,1.2143532037735,1969,1.65299820899963,1942,"mjhc8",1
"bia9n",2,1.52509796619415,1967,1.88911926746368,1945,"cbty7",1
"fc5q6",2,0.983641922473907,1981,1.12769782543182,1965,"t10la",1
"dhcmn",1,1.75297915935516,1967,9.87881374359131,1927,"js942",1
"evlcf",1,11.8558559417725,1965,2.63963961601257,1944,"z4zka",1
"v7uxz",1,1.5,1972,2.10070300102234,1937,"b2vo8",0
"kbnf2",2,0.584314584732056,1962,6,1942,"w9p2k",1
"nglnt",2,1.05484402179718,1975,1.3020738363266,1949,"w90p4",1
"ahiee",2,1.52884936332703,1972,0.590710878372192,1949,"a023r",1
"sqwar",2,2.01401448249817,1975,9.01994228363037,1942,"v7gmh",0
"h1227",2,4,1962,7.242919921875,1942,"l48g4",1
"umo6u",2,1.58873510360718,1974,8.97147941589355,1945,"aojxh",1
"f4psn",1,1.66121399402618,1967,1.64705884456635,1932,"jjdui",0
"bxx6h",2,5.36579990386963,1967,2.16034317016602,1950,"kjhw3",1
"jlcdk",1,4.16739845275879,1964,0.605164468288422,1944,"a1iue",1
"q750l",1,9.19313812255859,1959,12.4666452407837,1932,"mlsty",0
"sq75n",2,1.27845621109009,1964,3,1942,"hu42z",1
"i832j",1,0.511527359485626,1962,7.85878658294678,1931,"ybevk",0
"bdkif",2,1.53052771091461,1974,1.50830101966858,1938,"dvn54",1
"w49rp",2,2.59808683395386,1970,3.83063244819641,1947,"uggiq",0
"u9irp",2,1.26649057865143,1975,6.15496444702148,1933,"ehn5r",0
"bvikb",1,8.25235176086426,1974,2.76438856124878,1952,"mw12f",0
"elu15",2,6.33245277404785,1969,6.00323152542114,1945,"lzqqv",1
"bt9jt",1,1.26418900489807,1972,2,1944,"pnw5v",1
"rpvyj",2,0.712374031543732,1976,2.64485597610474,1942,"fdfsq",1
"ydlit",2,7.4821982383728,1964,1.86378741264343,1937,"m2e1g",0
"e1dke",1,2.78621983528137,1973,3.99101257324219,1954,"f67s6",1
"pzoip",1,1.52884936332703,1972,2.64675283432007,1950,"odfph",1
"mdnt6",1,6.33245277404785,1970,1.27095854282379,1936,"kkzh4",0
"c9eau",2,2.08914732933044,1977,2.31298160552979,1952,"oroqc",1
"tzwei",2,5.54877281188965,1982,1.94944298267365,1959,"kax04",0
"fel1k",2,2.55726861953735,1964,2.88829469680786,1935,"blrre",0
"a8ygv",2,4,1967,3.10631227493286,1952,"ech3w",1
"o0aag",2,3,1941,3,1910,"b5k5y",0
"nlnpg",1,3.18483686447144,1966,4.08249378204346,1949,"z3qnq",1
"sgap4",2,0.886824607849121,1974,12.4666452407837,1932,"mlsty",0
"w3q61",1,1.09997653961182,1975,2.23113822937012,1949,"mf10c",0
"t9gyg",1,3.38598537445068,1963,1.64705884456635,1932,"jjdui",0
