"age","male","livestock","agef","livestockf"
33,1,19,84,70
78,1,45,NA,NA
93,1,70,NA,NA
55,1,10,NA,NA
21,1,NA,73,35
37,0,4,90,110
40,1,9,84,150
54,1,30,NA,NA
27,0,NA,73,10
17,0,NA,85,55
55,1,16,84,150
80,0,3,NA,NA
32,1,20,71,35
78,1,60,NA,NA
50,0,NA,92,75
66,1,23,90,110
13,1,NA,68,125
36,0,10,85,55
71,1,35,NA,NA
61,0,NA,93,70
30,0,NA,93,70
36,1,5,NA,NA
34,0,10,73,95
36,0,6,87,60
49,1,38,NA,NA
53,0,NA,84,150
13,0,NA,90,110
66,1,40,NA,NA
30,0,NA,79,20
37,0,4,83,20
46,0,10,73,35
41,1,1,90,12
54,0,NA,93,70
41,0,5,NA,NA
68,1,125,NA,NA
63,1,85,NA,NA
37,1,4,77,35
36,1,8,NA,NA
44,1,18,87,60
36,0,6,79,20
35,1,2,NA,NA
33,1,10,75,100
32,1,9,79,20
84,1,70,NA,NA
34,1,4,78,45
74,1,30,NA,NA
26,0,NA,87,60
45,1,5,73,35
39,1,6,NA,NA
38,0,NA,68,125
34,0,12,73,95
85,1,110,NA,NA
27,0,NA,79,20
53,0,5,NA,NA
64,0,5,NA,NA
30,0,2,90,110
56,1,9,84,150
47,1,14,84,150
46,1,9,83,20
64,1,46,93,70
15,0,NA,68,125
36,0,6,78,45
40,0,4,72,25
30,1,NA,93,70
38,1,6,80,60
59,0,6,83,20
45,0,8,74,30
58,1,35,NA,NA
57,0,6,NA,NA
76,1,45,NA,NA
31,1,2,90,12
51,1,35,93,70
31,0,16,84,150
31,1,16,73,95
37,1,15,79,30
44,1,11,92,75
50,1,10,76,45
32,0,8,75,100
17,0,NA,84,70
34,1,7,NA,NA
60,1,11,93,70
32,0,NA,93,70
56,1,17,90,110
34,0,2,87,60
38,0,10,71,35
43,0,4,85,55
60,1,38,NA,NA
73,1,95,NA,NA
40,1,7,74,30
21,0,NA,79,20
39,1,5,79,30
30,1,10,NA,NA
33,0,4,73,35
19,1,NA,79,20
47,1,2,NA,NA
32,1,10,66,40
41,0,30,79,30
31,0,6,NA,NA
61,1,15,84,150
31,1,6,NA,NA
33,1,2,79,30
40,0,NA,90,110
76,0,8,NA,NA
92,1,75,NA,NA
50,0,4,84,70
50,1,10,83,20
84,1,150,NA,NA
40,1,5,85,55
43,0,NA,75,100
42,1,5,NA,NA
35,1,12,NA,NA
48,1,30,68,125
39,0,6,66,40
73,1,10,NA,NA
33,0,4,74,30
42,0,12,87,60
