"id","idf","idm","ed","edf","edm","age","agef","agem","sex"
"gf1b9","pq5y9","aldbb",3,9999,9999,75.87679671,9999,9999,"F"
"vzdtv","clv41","pqz0h",11,9999,9999,35.02258727,67,9999,"F"
"vvhs6","uhpfy","njev3",9999,10,10,9999,50,38,"M"
"ddqcv","u88e7","f614l",9999,9,8,9999,34,35,"F"
"sl1w1","g3c1v","lk0mn",9999,9999,9999,81,9999,9999,"M"
"f9ubm","mzxrb","iqho9",9999,9999,9999,34,9999,59,"F"
"se6r3","x5b6a","j5vu5",9999,9999,9999,9999,9999,9999,"F"
"rf1cb","k9gm5","v6tpx",9999,9999,9999,73,9999,9999,"F"
"ogxbx","pux44","fz9ta",11,11,9999,19.28268309,52,43,"M"
"vql6l","jcuow","arn3r",11,3,3,23.26078029,70,54,"F"
"dtgc9",NA,"jp0uc",11,9999,3,20.90896646,9999,52,"F"
"fyr9z","mammn","e6jc4",10,9999,9999,40.05201916,9999,9999,"F"
"nq9ag","dszww","rk74u",11,9999,10,23.62491444,34,43,"M"
"go9n9","h70yo","wdu5f",10,9999,9999,45.69472964,9999,75,"M"
"ewdko","xaow3","ppsu3",11,9999,9999,53.14442163,9999,9999,"F"
"twekj","lez6g","fyh5q",9999,10,10,9999,50,52,"M"
"mq71x",NA,"aijlu",9,9999,10,22.9650924,9999,43,"M"
"h0fk8","x3fwf","j2bzi",3,9999,9999,57,9999,9999,"F"
"iienr","hw1o5","o8z7x",11,9999,8,27.02532512,9999,53,"M"
"ad7g5","pcg89","dwrcg",6,10,10,15.95345654,42,38,"M"
"echp4","yuxhf","a22d2",9,10,10,20.49281314,40,50,"M"
"mqi2f",NA,"qsi6a",9,9999,11,16.78028747,9999,40,"M"
"pul1y","fk3nn","cgfji",11,9999,11,23.71252567,42,48,"F"
"jtujw","hqoqg","lx5vl",11,10,10,18.83915127,44,37,"F"
"cwqjd","dzhlg","rn6uk",9999,9999,9999,9999,9999,9999,"F"
"ad2sm","au8iz","s5a2e",9,10,10,18.04791239,53,45,"M"
"gq7ao","h1up3","mzdnm",12,10,11,20.69815195,48,42,"F"
"weud6","r8ui2","lswwx",9,9999,9999,27.77823409,9999,9999,"M"
"uzdfd","uk7ot","nfiy3",10,9999,9999,37.55509925,9999,69,"F"
"yh053","nyfl4","slxf1",9999,9999,9999,9999,9999,9999,"M"
"whaye","w4ggi","wyzvw",11,10,10,18.82819986,44,49,"M"
"hq243","bb4om","yd602",11,10,10,17.84531143,45,43,"M"
"rym4z","cpizp","gjx1s",8,3,9999,40.43805613,78,9999,"M"
"thn5d","jospm","sjveu",4,9999,10,22,9999,56,"M"
"g3js2","lcagy","bm2ah",10,9999,3,37.50308008,9999,69,"F"
"b1dr4","ze7w6","gxn01",11,9999,10,27.38124572,50,50,"F"
"wj99z","fw3we","owa5a",12,9999,9999,38.38740589,9999,78,"F"
"wpwrp","en685","aijlu",11,9999,10,19.39219713,9999,43,"F"
"kchwe","oukiz","t141m",8,9999,3,36.42162902,9999,69,"M"
"zylai",NA,"ewdko",11,9999,11,27.03627652,9999,53,"M"
"ix0sc","k212r","i88z9",11,11,11,27.90691307,64,51,"M"
"qosmc","tgejs","c1s6c",10,10,10,18.99520876,49,45,"M"
"szaip","glc0r","hjc67",10,9999,9999,58.36550308,9999,9999,"F"
"kdkao","pkbz2","u9wi9",10,9999,9999,50.78439425,78,70,"M"
"t25j3","jt4ec","prrk9",9999,9999,3,45.48665298,73,74,"M"
"ljzyu","jerg2","umwto",11,9999,11,18.03422313,42,41,"M"
"mz2h0","c7stz","ajfaf",10,9999,9999,60.49281314,9999,9999,"M"
"sy60c","jcuow","arn3r",11,3,3,18.95140315,70,54,"F"
"labog","jt4ec","prrk9",9999,9999,3,31,73,74,"M"
"hkwdi","k55g1","e05bt",9,9999,10,16.64613279,9999,52,"M"
"e05bt","d8pa5","fhurt",10,9999,9999,51.65776865,9999,61,"F"
"wep4d","w8vpn","kdlxg",9999,9999,9999,9999,62,70,"F"
"x48v6",NA,"rc55t",10,9999,9999,38.51608487,9999,9999,"M"
"uj4uc","wayb4","n0l9b",9999,9999,9999,42,9999,9999,"M"
"xq174","h70yo","wdu5f",10,9999,9999,48.30937714,9999,75,"M"
"pjuwm","yiabg","l4i0b",9999,9999,9999,9999,9999,9999,"M"
"cmxgm","gptwx","seq1l",11,10,9999,26.39835729,53,45,"M"
"l1nom","g4rdd","p3nis",8,9999,9999,55.14031485,9999,67,"M"
"exdmh","hqoqg","lx5vl",11,10,10,18.83915127,44,37,"F"
"t3rp5",NA,"a615m",9,9999,8,17.74401095,9999,38,"F"
"zhzuj","a95wr","shm6o",10,3,3,44,84,79,"F"
"ykurp","c0k98","rn38y",7,10,8,19.61670089,50,46,"M"
"jcuow","glc0r","hjc67",3,9999,9999,70.15195072,9999,9999,"M"
"x7xzx","lcoaw","cbx91",7,10,10,17.48939083,51,48,"M"
"l4uxx","fwb1n",NA,9999,9999,9999,9999,9999,9999,"F"
"lbs8a","xq174","i97eg",11,10,10,18.64202601,48,42,"M"
"lnpn5","vg9bu","w6j6f",9999,9999,9999,9999,9999,9999,"F"
"cjdc9","ze7w6","gxn01",11,9999,10,25.5578371,50,50,"F"
"vmsrd","mp6zg","aj20q",8,9999,3,37.77686516,9999,67,"F"
