"id","male","age","rs","mid","agem","rsm","fid","agef","rsf"
"kx4o8",1,27.90691307,2,"vhial",51,2,"x6pew",64,2
"srfw4",1,27,1,"fsnj2",51,5,"x4i4p",66,5
"cijtb",0,19.17316906,0,"sl3ai",44,4,"fo607",50,4
"ykq4h",0,18.01505818,0,"rlk6c",38,7,"inreo",50,7
"ed3rb",0,28.34223135,4,"i1ojd",50,4,"lelo4",NA,3
"s5h3m",0,22.55715264,0,"uoxmj",47,4,NA,NA,NA
"a5ihm",1,41,0,"jhg9x",NA,2,"fp7em",70,2
"m5j93",0,46.99794661,2,"qo7v2",69,5,"ydgtw",NA,5
"elva4",0,45,3,"c4563",NA,3,"un6bm",81,3
"d4bev",0,44,4,"yjnvw",79,5,"d4fwk",84,5
"jacy2",0,25.908282,2,"ulzku",48,5,"xqoe8",51,5
"pljlh",0,16.18617385,0,"t6y9s",NA,3,"lz3kh",57,5
"z5kux",0,NA,1,"wu3fi",NA,1,NA,NA,NA
"qyd63",0,NA,1,"mn1ak",NA,5,"l7cef",NA,5
"k4m8q",0,39.62217659,2,"h4xmj",69,3,NA,NA,NA
"ltfun",0,21.36071184,1,"oxadt",43,3,"n7w9o",45,3
"y01hx",1,48.30937714,6,"popci",75,8,"vibg0",NA,8
"tfnz1",0,45.12525667,8,"vii6w",NA,2,"u4n8c",NA,2
"hyosu",1,50.35455168,0,"kr8ae",NA,2,"i5myz",72,2
"nior0",0,25,0,"yjnvw",79,5,"d4fwk",84,5
"lljxx",1,NA,3,"waaj6",NA,3,"d29cz",NA,3
"t07p0",0,15.88501027,0,"gx1no",35,5,NA,NA,NA
"qu2km",1,32.79671458,0,"h95an",NA,4,"xcn37",NA,2
"djqbr",1,24.32032854,0,"mfmrd",51,4,"d26vi",64,5
"lr9sl",1,27.18959617,0,"lfv5d",67,9,"uoxxy",NA,11
"txlku",0,17.00479124,0,"lv8hm",38,4,"n5jt7",42,4
"y1uos",1,20.27652293,0,"loynm",41,4,"elgh4",40,4
"ur7go",1,25.92197125,3,"cqd0w",49,4,"jt96l",NA,2
"pr1wb",0,NA,1,"s7rvd",NA,2,"hdsa9",NA,2
"zggsl",1,20.10951403,0,"mawzw",52,4,"vxuns",51,1
"d9djy",0,39.02806297,3,"ukuw8",68,3,"axe27",73,3
"goksu",0,44.80766598,2,"blsyx",NA,2,"kiafg",NA,2
"popci",0,75,8,"kjah4",NA,2,"thjw1",NA,2
"mcq2v",0,56,7,"yuw8b",NA,7,"na4vv",NA,7
"cyn36",0,19.64681725,0,"baogq",33,1,"cqqkz",41,1
"n3ser",1,NA,1,"swwvp",52,3,"fk913",68,3
"woxq0",1,32,1,"gifzr",57,3,"ekg75",NA,3
"mawzw",0,51.69062286,4,"hgp3j",NA,2,"d6x25",NA,2
"mf0j8",1,23.62491444,0,"ngl4x",43,4,"s6tnk",34,4
"zofdk",1,NA,0,"lwbfz",70,4,"t03da",62,4
"jt96l",1,NA,2,"yuw8b",NA,7,"na4vv",NA,7
"cqjwm",1,19.24435318,0,"dxzrh",45,2,"wsda7",53,3
"tbe4j",1,NA,0,"n4hmn",NA,4,"lm9gw",36,3
"f0cwy",0,24.22176591,0,"j2x6y",53,3,"szttu",NA,4
"d1eko",0,NA,0,"vhial",51,2,"x6pew",64,2
"d83vo",1,39,2,"lfv5d",67,9,"uoxxy",NA,11
"dnkzd",0,48,6,NA,NA,NA,"g0kzw",NA,1
"fx4i2",1,25.5523614,0,"n331j",46,6,"hgh53",50,6
"qcb79",1,32,4,"chmjm",57,1,NA,NA,NA
"rdtjz",1,26.81998631,0,"fsnj2",51,5,"x4i4p",66,5
"w6ku2",0,NA,2,"nwz8r",NA,4,"r8sxb",NA,4
"nec4u",0,17.07323751,0,"jq6qf",37,4,"bw55a",NA,3
"vqjog",1,18.35455168,0,"gy9ug",47,5,"fb1da",53,5
"k44vq",0,23.26078029,1,"twp17",54,5,"jaf2h",70,4
"tf3ba",0,19.93976728,0,"urfna",29,4,"fs22r",30,4
"bvcfu",0,21.4017796,2,"dab2o",40,1,"ordkd",NA,1
"kkumy",0,57,0,"nwz8r",NA,4,"r8sxb",NA,4
"l1b6o",0,25.01574264,3,"vslib",48,2,"ovpjs",47,2
"smokq",1,26.09993155,0,"ujiv0",51,6,"voill",51,6
"qup51",0,NA,1,"jg2vv",NA,4,"zj4lr",NA,3
"xv7dq",0,25.92744695,1,"gy9ug",47,5,"fb1da",53,5
"typy0",1,20,1,"m3ins",53,4,NA,NA,NA
"dvkqz",0,39,2,"xcw5u",NA,3,"c3j7k",66,3
"ff75y",1,31,1,"er9gd",74,3,"f2fh3",73,3
"x60yn",0,37.36892539,2,"titw9",NA,1,"ixnkp",NA,1
"lrxag",1,25.50308008,0,"nwsvk",45,1,"p7kwq",48,1
"yp7wj",1,32.21629021,0,"tc426",NA,6,"kjezt",59,6
"p80nd",1,24.862423,2,"ulzku",48,5,"xqoe8",51,5
"ur9gn",0,41.84257358,1,"jc7s5",NA,2,"z5mvg",67,2
"zqosk",1,NA,1,NA,NA,NA,"w874n",NA,4
"vdjba",0,37.50308008,1,"nlamw",69,3,"aviz3",NA,3
"wlg8i",1,NA,0,"y7gff",19,1,"of5ve",20,1
"ca6h7",0,33,2,"fwsc0",76,3,"ddcip",78,3
"jrzff",1,18.04791239,0,"dxzrh",45,2,"wsda7",53,3
"xqqyw",1,29.86173854,0,"lg5wj",58,6,"b01r1",62,6
"lfv5d",0,67.35112936,9,"tv3a0",NA,1,"vesja",NA,1
"c6d10",1,77.5797399,4,"fegfn",NA,2,"fa9nn",NA,2
"w02f6",0,NA,3,"ktun4",NA,3,"lljxx",NA,3
"titw9",0,NA,1,"id4l9",NA,2,"tfogm",NA,2
"zei3x",0,42.40930869,6,"vii6w",NA,2,"u4n8c",NA,2
"aexe0",1,29,3,"ju8l9",NA,3,"j3afj",NA,3
"yxneu",1,22.95140315,1,"tfnz1",45,8,"ze5ac",52,2
"fluz4",0,16,0,"sdrlz",42,3,"rhoj3",45,2
"c2h70",1,17.71937029,0,"axap4",NA,3,NA,NA,NA
"gluvu",1,24.89253936,1,"i1ojd",50,4,"yodsq",NA,3
"kpupo",0,NA,2,"hgp3j",NA,2,"d6x25",NA,2
"nlb3j",1,40,1,"er9gd",74,3,"f2fh3",73,3
"ihszi",0,16.89253936,0,"x50rk",43,3,"msth3",NA,2
"dab2o",0,40,1,"dla2t",NA,3,"dd5xc",NA,3
"m3ins",0,53.14442163,4,"bwkmz",NA,2,"qrpng",NA,2
"r0zo0",0,26.17932923,1,"jj7rw",50,10,"nxtt2",NA,10
"oyich",0,22.19028063,0,"ju8l9",NA,3,"j3afj",NA,3
"it9b6",0,NA,2,"vslib",48,2,"ovpjs",47,2
"br7c6",0,41.81793292,0,"nlamw",69,3,"aviz3",NA,3
"qhaip",1,26.97878166,0,"svf0l",62,9,"xcypz",NA,8
