"id","age","male","rs","idm","agem","rsm","idf"
"z85xx",11,1,NA,"d4jej",44,7,"kcg3b"
"pvd50",20,1,1,"kcg3b",NA,4,"kcg3b"
"aa3g1",4,2,NA,"iccqv",31,3,"kcg3b"
"pyek2",5,1,NA,"q6ay3",32,3,"kcg3b"
"yf3mw",17,1,NA,"kcg3b",NA,NA,"kcg3b"
"xvfp9",30,2,3,"kcg3b",NA,NA,"kcg3b"
"j90nq",25,1,1,"kcg3b",NA,6,"kcg3b"
"lorch",2,2,NA,"zon3h",21,4,"elimq"
"wywzq",49,2,8,"kcg3b",NA,NA,"kcg3b"
"vqjtg",1,2,NA,"xput1",32,3,"wujhi"
"yk9fr",5,1,NA,"yu7lq",26,3,"kcg3b"
"c8vq2",37,1,0,"kcg3b",NA,4,"kcg3b"
"p4x6y",30,2,4,"kcg3b",NA,4,"kcg3b"
"hnadc",22,1,NA,"gtl46",56,3,"kcg3b"
"wyo57",45,2,5,"kcg3b",NA,1,"kcg3b"
"mwsu9",34,1,4,"kcg3b",NA,4,"kcg3b"
"tpc2f",7,2,NA,"n8zo0",23,1,"kcg3b"
"dveif",48,2,5,"kcg3b",NA,1,"kcg3b"
"m5k63",12,2,NA,"l7jvz",27,4,"i8l3t"
"syo01",14,1,NA,"z1wz3",33,5,"dmy1x"
"yqd1p",24,2,1,"kcg3b",NA,5,"kcg3b"
"s4ryj",10,1,NA,"ooek5",30,4,"z8o74"
"zjabo",7,1,NA,"rfbv3",33,4,"kcg3b"
"gxmns",40,1,4,"kcg3b",NA,4,"kcg3b"
"r23nc",10,2,NA,"af8v6",32,4,"nzz7t"
"f404k",1,2,NA,"a2abj",22,3,"i21ob"
"lxssn",7,2,NA,"jkpfc",24,4,"hznxr"
"qmcxw",0,1,NA,"lyrq1",36,6,"qebiz"
"djx3h",23,2,NA,"w37fl",51,5,"kcg3b"
"o69qi",16,2,NA,"kj79r",52,3,"hp3z9"
"xbpqi",63,1,5,"kcg3b",NA,4,"kcg3b"
"sbuwp",15,1,NA,"fiq2t",39,8,"j5ctv"
"edn8s",1,2,NA,"n4a1c",35,4,"ahumo"
"o8wxq",15,2,NA,"o1de7",30,4,"w644i"
"nmpm3",57,1,0,"kcg3b",NA,1,"kcg3b"
"n41w1",2,1,NA,"x1h63",49,5,"kcg3b"
"xjkeg",2,2,NA,"oa2tx",33,5,"cpd78"
"p95p0",16,1,NA,"kcg3b",NA,NA,"kcg3b"
"r5kkp",10,1,NA,"zv2h2",28,2,"ytl35"
"b1yx5",17,2,NA,"ahuz3",45,6,"kcg3b"
"fy6jw",1,1,NA,"ufgvy",25,3,"kcg3b"
"w55k9",38,2,6,"kcg3b",NA,5,"kcg3b"
"org3t",18,2,NA,"xemvh",55,7,"q36dw"
"czdzc",6,2,NA,"rb6za",29,4,"q5r4g"
"c06hv",25,2,0,"kcg3b",NA,3,"kcg3b"
"kdakt",10,1,NA,"wb6eb",30,6,"ekobx"
"e6c1j",20,2,NA,"qiy09",61,3,"kcg3b"
"a6usb",0,2,NA,"dp68k",24,5,"hl77h"
"f4eif",32,2,2,"kcg3b",NA,5,"kcg3b"
"s935m",13,1,NA,"byxxg",40,7,"j2dcv"
"ib7fc",1,1,NA,"voxwi",30,5,"p8fua"
"jkpmm",27,1,NA,"kcg3b",NA,NA,"kcg3b"
"c4s97",15,1,NA,"jn2ev",49,6,"dzkpi"
"z6xl1",16,2,NA,"wi29p",41,4,"kcg3b"
"cfjqu",7,2,NA,"ni78x",23,4,"vipjf"
"z3xbr",2,1,NA,"q12ni",37,6,"kcg3b"
"fnc1f",5,1,NA,"g1w8z",24,3,"lprrc"
"tbjbs",57,1,2,"kcg3b",NA,3,"kcg3b"
"pk1og",13,1,NA,"b0vcv",49,3,"jmtax"
"e1fxd",49,1,3,"kcg3b",NA,3,"kcg3b"
"fpoae",4,1,NA,"f15bo",25,3,"wjibo"
"epsnq",27,2,3,"kcg3b",NA,3,"kcg3b"
"gxodh",19,2,NA,"x9urh",38,8,"mult9"
"qx2ve",24,1,NA,"q4chh",55,8,"iark3"
"b4sd8",3,1,NA,"gwstt",47,6,"kcg3b"
"fyuwo",24,1,NA,"ex47a",53,11,"fnn20"
"j1cex",-2,1,NA,"kcg3b",NA,NA,"kcg3b"
"ya42q",55,2,3,"qo1q4",83,1,"kcg3b"
"u7vfz",9,2,NA,"n5303",49,4,"hlg1u"
"oud7y",33,1,2,"kcg3b",NA,2,"kcg3b"
"hitk6",12,2,NA,"b2mpg",32,5,"kcg3b"
"hzbku",56,2,0,"kcg3b",NA,2,"kcg3b"
"j52bj",32,2,0,"kcg3b",NA,1,"kcg3b"
"jfiw7",3,1,NA,"euke6",26,1,"kcg3b"
"g2eht",19,2,1,"kcg3b",NA,5,"kcg3b"
"a3j33",33,1,3,"kcg3b",NA,4,"kcg3b"
"tg325",48,1,4,"kcg3b",NA,5,"kcg3b"
"cdy0m",19,2,1,"kcg3b",NA,7,"kcg3b"
"s30fx",49,1,7,"kcg3b",NA,3,"kcg3b"
"andxg",4,1,NA,"bb178",25,2,"ilfh2"
"c7evr",42,1,2,"kcg3b",NA,3,"kcg3b"
"rxk8p",1,1,NA,"y4vdc",21,2,"j7nm0"
"oh9wx",43,2,6,"qphtg",67,4,"kcg3b"
"hw61j",0,1,NA,"vjtwb",37,7,"huas2"
"eb6n6",1,2,NA,"gtnu8",18,4,"f2fyf"
"i5nxn",4,1,NA,"poyx3",25,3,"veflk"
"kvok9",11,2,NA,"esl0z",34,8,"szvgy"
"aviwl",57,1,6,"kcg3b",NA,3,"kcg3b"
"vvfvo",30,2,3,"kcg3b",NA,1,"kcg3b"
"mid0n",12,1,NA,"h68ud",59,8,"hbosg"
"ozd3r",3,2,NA,"m48ps",23,3,"kcg3b"
"iuuot",12,1,NA,"ua6pb",45,6,"rqtxz"
"kvzgu",6,1,NA,"ebea1",28,4,"xw1sg"
"l009l",20,2,1,"kcg3b",NA,6,"kcg3b"
"mrhzz",1,2,NA,"lyyol",24,1,"kcg3b"
"rypgf",8,1,NA,"i1216",37,6,"zqza4"
"yi92g",9,2,NA,"t5aaq",37,5,"ajeor"
"gic73",54,2,2,"kcg3b",NA,3,"kcg3b"
"jkp7j",12,2,NA,"lcbiv",33,4,"hs79i"
"p08ai",16,2,NA,"wpobh",36,5,"tqxgc"
"jjg8d",14,1,NA,"raszq",39,4,"r0sb3"
"rd44c",12,2,NA,"sqvo6",32,5,"kcg3b"
"s79w7",1,1,NA,"kdniy",19,1,"xuby5"
"zklhw",0,2,NA,"pn7dh",20,2,"eu1di"
"rumxe",7,2,NA,"jlx29",31,4,"sixnc"
"u955b",15,2,NA,"kcg3b",NA,NA,"kcg3b"
"ijdiq",45,2,6,"kcg3b",NA,4,"kcg3b"
"dts8j",6,2,NA,"kcg3b",NA,NA,"kcg3b"
"hu3bd",6,2,NA,"m7ifw",47,6,"r5v81"
"a3tqm",40,2,8,"kcg3b",NA,1,"kcg3b"
"b5ljc",5,2,NA,"q1dpr",45,5,"kcg3b"
"gi1wc",5,2,NA,"u36ys",22,4,"zohlh"
"pretj",4,1,NA,"arq9r",25,4,"zul3a"
"a2abj",22,2,3,"kcg3b",NA,4,"kcg3b"
"zxknm",26,2,3,"kcg3b",NA,6,"kcg3b"
"qut05",15,1,NA,"kcg3b",NA,NA,"kcg3b"
"dela6",0,1,NA,"e2pig",23,4,"w2cow"
"v2pvv",0,1,NA,"d5tr8",34,5,"v9216"
"lj4q6",25,2,2,"kcg3b",NA,4,"kcg3b"
"w3qbr",70,1,1,"kcg3b",NA,4,"kcg3b"
"wd3jo",30,1,0,"kcg3b",NA,3,"kcg3b"
"b32go",50,1,7,"kcg3b",NA,3,"kcg3b"
"m2jns",5,2,NA,"ni78x",23,4,"vipjf"
"omcio",9,2,NA,"x5w00",22,4,"rhxcd"
"htpqr",2,1,NA,"lkbv5",24,2,"kcg3b"
"ym4fc",19,1,NA,"qk5sf",41,3,"u64t0"
"w7mp1",35,2,2,"kcg3b",NA,5,"kcg3b"
"bboi7",24,2,1,"kcg3b",NA,6,"kcg3b"
"bmxhi",37,1,5,"kcg3b",NA,3,"kcg3b"
"b60n0",6,1,NA,"cqj5q",31,6,"am39j"
"v48gp",21,2,0,"kcg3b",NA,2,"kcg3b"
"e0yxr",3,1,NA,"xput1",32,3,"wujhi"
"o862g",8,1,NA,"btvfx",29,4,"zu605"
"cckw2",21,1,0,"kcg3b",NA,NA,"kcg3b"
"oxt6x",9,1,NA,"kf7mx",41,7,"v0xee"
"mi6o1",34,2,0,"kcg3b",NA,2,"kcg3b"
"bfukq",9,1,NA,"jar1n",24,1,"kcg3b"
"yqhl1",7,2,NA,"xf135",25,2,"asm4e"
"chs4f",1,1,NA,"m932f",20,2,"e52vk"
"n6rua",29,1,NA,"bk9iu",51,6,"kcg3b"
"du1z5",4,2,NA,"e8j2o",22,2,"ag1ll"
"cq65f",33,1,3,"kcg3b",NA,4,"kcg3b"
"tlcxe",4,2,NA,"vuvbs",28,2,"aq3rb"
"i0nkm",17,1,NA,"kcg3b",NA,NA,"kcg3b"
"nk58w",6,2,NA,"q6ltd",25,2,"vz5n1"
"v6y1i",16,1,NA,"oj079",46,1,"r2t45"
"yqd9c",4,2,NA,"vyblk",25,2,"njaul"
"re306",0,1,NA,"cv59l",23,2,"d7xtd"
"cvxja",22,1,NA,"vex7l",47,4,"kcg3b"
"atcrf",31,2,1,"kcg3b",NA,5,"kcg3b"
"o1ol0",34,2,3,"kcg3b",NA,6,"kcg3b"
"rhw3h",17,2,NA,"vpvtb",40,3,"nea26"
"q096m",35,1,4,"kcg3b",NA,5,"kcg3b"
"t6rxq",2,1,NA,"pm6js",53,5,"kcg3b"
"s70o3",23,1,1,"kcg3b",NA,NA,"kcg3b"
"piwsa",20,1,NA,"kcg3b",NA,NA,"kcg3b"
"fv11t",7,1,NA,"wyo57",45,5,"gknza"
"p873r",22,2,2,"kcg3b",NA,9,"kcg3b"
"ux8e2",21,1,NA,"odvvz",36,3,"kcg3b"
"n83l2",14,1,NA,"zaukl",48,8,"z31iy"
"kcxgw",7,2,NA,"py2hj",29,2,"e6bp3"
"sgmpa",10,2,NA,"clq6w",31,4,"d7pel"
"mmnq2",3,1,NA,"j9eik",23,2,"gzlvu"
"k392s",9,2,NA,"weu6q",31,5,"q1zzv"
"np3w7",9,1,NA,"bm421",28,3,"avbs3"
"ygd8z",17,2,NA,"divpa",52,3,"ezi8x"
"q3av7",2,1,NA,"djwe4",28,2,"kcg3b"
"gsjbo",5,1,NA,"hlabv",30,4,"jrdzb"
"j7nm0",26,1,2,"kcg3b",NA,2,"kcg3b"
"ef5yl",3,2,NA,"l0njt",21,5,"kcg3b"
"b1xci",12,1,NA,"fc8rp",35,7,"kcg3b"
"q270g",8,1,NA,"g8uea",33,5,"hfqgd"
"c8dlu",14,1,NA,"kcg3b",NA,NA,"kcg3b"
"gzlvu",27,1,2,"kcg3b",NA,8,"kcg3b"
"t2neg",33,1,0,"kcg3b",NA,3,"kcg3b"
"hvjhy",48,2,3,"kcg3b",NA,6,"kcg3b"
"kpulp",11,2,NA,"ohh6c",33,2,"kcg3b"
"eta2d",40,1,5,"kcg3b",NA,7,"kcg3b"
"uqdm4",14,1,NA,"y5mfj",46,9,"vgthu"
"jghv7",15,1,NA,"gsuuh",39,5,"kcg3b"
