"id","age","sex","livestock","fid","agef","livestockf"
"wcrfs",22.5,"s",3,"osq6k",62.5,33.2999992370605
"lkyt7",22.5,"d",8,"xa858",57.5,276.399993896484
"e6hxu",17.5,"s",0.5,"xh37n",67.5,34.5
"czjzi",27.5,"s",10,"wa0e3",47.5,66.8000030517578
"fonb0",32.5,"d",4,"him0j",67.5,19
"ijsud",17.5,"s",1,"lrrmx",42.5,7
"ll67f",17.5,"d",8,"e17h0",67.5,63.4000015258789
"z8mjv",22.5,"s",3,"c3ztr",77.5,25.6000003814697
"mnhlm",52.5,"d",NA,"c3ztr",77.5,25.6000003814697
"zf9xo",42.5,"s",140,"c7e2l",77.5,249
"tx469",17.5,"s",1,"c3ztr",77.5,25.6000003814697
"fr2ck",52.5,"s",14,"e2swg",72.5,96.5999984741211
"xey5n",17.5,"d",NA,"pjblp",47.5,88
"jpj8l",32.5,"s",3,"og452",67.5,20.3999996185303
"uguaq",57.5,"d",NA,"nszsd",72.5,116.800003051758
"s4nut",27.5,"s",20,"mfg36",62.5,168.600006103516
"mdw2l",17.5,"d",7,"kw245",37.5,37
"yhpzy",27.5,"d",NA,"bzp0e",52.5,66
"lq2kx",27.5,"d",2,"osq6k",62.5,33.2999992370605
"yg3yf",27.5,"s",12,"ofagd",57.5,38
"vzdvl",37.5,"d",NA,"c7e2l",77.5,249
"miybw",27.5,"s",16,"xa858",57.5,276.399993896484
"qm5nc",37.5,"d",12,"ekvcl",67.5,102.099998474121
"qxg0f",52.5,"d",NA,"gz5tt",72.5,64.6999969482422
"qhqkc",22.5,"d",NA,"kw245",37.5,37
"lf1yh",32.5,"s",5,"mkdc1",57.5,44
"irj1q",22.5,"s",4,"stdmm",57.5,11.3999996185303
"a1ofy",32.5,"s",4,"c3ztr",77.5,25.6000003814697
"qwox7",32.5,"d",NA,"bzp0e",52.5,66
"auewg",17.5,"s",3,"him0j",67.5,19
"acrii",22.5,"d",6,"b7ofy",47.5,22
"qzyo5",22.5,"d",NA,"i9p6g",47.5,105.199996948242
"zimhe",27.5,"d",4,"qi939",47.5,2.70000004768372
"diqem",37.5,"d",34.9000015258789,"t0esr",67.5,100.400001525879
"rfnrp",42.5,"s",8,"zmnh4",72.5,65.5999984741211
"hcfgf",37.5,"d",NA,"ekvcl",67.5,102.099998474121
"hnk2o",22.5,"s",10,"osq6k",62.5,33.2999992370605
