"RP_INC_LOG","HP_INC_LOG","CF_INC_LOG","RF_AGE","RF_AGE_DEATH","RF_YRS_SINCE_DEATH","RM_AGE","RM_AGE_DEATH","RM_YRS_SINCE_DEATH","HF_AGE","HF_AGE_DEATH","HF_YRS_SINCE_DEATH","HM_AGE","HM_AGE_DEATH","HM_YRS_SINCE_DEATH","HUS_AGE","RESP_AGE"
11.1844213979982,9.90348755253613,12.7938593104323,55,NA,NA,40,NA,NA,80,NA,NA,60,NA,NA,30,21
10.8395809117065,10.6919449129004,8.88183630500415,NA,70,15,65,NA,NA,NA,70,23,NA,23,8,70,42
11.0186291431554,10.3089526606443,10.4631033404715,70,NA,NA,65,NA,NA,NA,NA,NA,NA,NA,NA,40,30
NA,NA,10.5584135202759,80,NA,NA,65,NA,NA,NA,57,25,68,NA,NA,50,39
10.0858091093301,9.39266192877014,10.2035921449865,NA,90,3,NA,70,8,NA,85,35,NA,80,31,53,48
11.0020998412042,10.77895628989,11.6952470217642,NA,79,1,66,NA,NA,NA,NA,NA,NA,NA,NA,NA,45
9.39266192877014,10.0858091093301,9.7981270368783,NA,40,30,70,NA,NA,NA,50,20,NA,70,1,NA,49
11.9183905730784,10.8197782844103,12.1007121298723,70,NA,NA,60,NA,NA,80,NA,NA,70,NA,NA,34,24
6.21460809842219,7.60090245954208,11.2384886192685,NA,70,12,NA,40,34,NA,75,30,NA,80,15,54,51
10.7363966754712,9.39266192877014,11.6952470217642,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36
9.90348755253613,9.21034037197618,10.3089526606443,50,NA,NA,35,NA,NA,NA,NA,NA,NA,NA,NA,NA,36
NA,10.0858091093301,11.0974100210086,76,NA,NA,67,NA,NA,NA,75,8,72,NA,NA,43,30
9.61580548008435,11.0020998412042,8.1886891244442,45,NA,NA,40,NA,NA,50,NA,NA,45,NA,NA,29,29
12.7938593104323,NA,11.6952470217642,NA,70,10,60,NA,NA,NA,65,26,90,NA,NA,52,35
9.39266192877014,NA,NA,60,NA,NA,53,NA,NA,66,NA,NA,60,NA,NA,35,25
NA,NA,NA,85,NA,NA,80,NA,NA,85,NA,NA,80,NA,NA,55,48
9.7981270368783,8.00636756765025,8.51719319141624,NA,50,30,NA,40,25,NA,NA,NA,NA,NA,NA,NA,54
11.289781913656,10.77895628989,10.8589989975636,90,NA,NA,80,NA,NA,NA,NA,NA,NA,NA,NA,NA,40
10.6213273456864,9.61580548008435,8.51719319141624,NA,70,20,NA,70,1,NA,NA,NA,65,NA,NA,NA,27
NA,NA,11.8775685785581,78,NA,NA,70,NA,NA,NA,75,9,NA,69,3,50,44
9.61580548008435,9.39266192877014,9.68034400122192,81,NA,NA,63,NA,NA,NA,NA,NA,NA,NA,NA,NA,40
9.90348755253613,10.3089526606443,11.4075649493124,NA,85,3,NA,73,1,NA,90,11,NA,57,22,64,48
NA,NA,11.0020998412042,NA,80,1,NA,70,1,NA,85,15,NA,70,12,54,47
8.29404964010203,8.00636756765025,9.39266192877014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37
NA,NA,9.39266192877014,NA,70,34,NA,60,30,NA,72,17,NA,64,19,70,62
10.7144177687525,10.9331069697173,11.0020998412042,NA,54,23,60,NA,NA,NA,NA,NA,NA,NA,NA,NA,29
9.21034037197618,NA,NA,66,NA,NA,66,NA,NA,NA,NA,NA,NA,NA,NA,NA,63
NA,10.77895628989,12.1652506510099,NA,55,22,57,NA,NA,76,NA,NA,56,NA,NA,36,27
9.39266192877014,10.6919449129004,10.77895628989,64,NA,NA,54,NA,NA,60,NA,NA,49,NA,NA,31,23
NA,NA,11.7644620907857,NA,85,20,NA,40,55,NA,NA,NA,NA,85,10,NA,59
NA,NA,11.6952470217642,NA,75,25,90,NA,NA,NA,65,18,NA,40,40,56,51
10.0858091093301,10.6454248972655,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,61
13.7809191131947,10.8197782844103,10.77895628989,56,NA,NA,50,NA,NA,70,NA,NA,62,NA,NA,31,28
10.8197782844103,9.7981270368783,NA,80,NA,NA,60,NA,NA,NA,NA,NA,NA,NA,NA,NA,38
9.21034037197618,8.69951474821019,NA,NA,90,10,NA,90,7,NA,NA,NA,NA,NA,40,NA,64
9.57498348556409,8.51719319141624,9.21034037197618,NA,80,20,NA,70,25,NA,98,15,NA,102,1,70,54
8.51719319141624,8.51719319141624,9.98044859367226,73,NA,NA,NA,39,25,NA,NA,72,6,50,16,54,34
10.1266311038503,NA,10.5966347330961,85,NA,NA,80,NA,NA,NA,56,36,82,NA,NA,55,41
8.51719319141624,8.85366542803745,11.0020998412042,NA,69,32,NA,60,30,NA,57,2,NA,40,22,NA,52
8.51719319141624,8.29404964010203,9.5468126085974,NA,75,25,NA,79,10,NA,NA,NA,NA,NA,NA,NA,63
10.8197782844103,10.5966347330961,10.3089526606443,NA,60,30,NA,70,16,NA,70,30,NA,65,25,65,50
8.29404964010203,8.69951474821019,11.3850920934603,NA,60,15,60,NA,NA,90,NA,NA,NA,50,12,45,42
11.0020998412042,10.4341158035983,10.8780471925343,NA,85,4,75,NA,NA,NA,NA,NA,NA,NA,NA,NA,45
10.0858091093301,10.1811192891344,10.77895628989,NA,60,50,90,NA,NA,NA,77,12,NA,72,11,70,52
NA,NA,9.87302834505142,NA,31,35,90,NA,NA,NA,NA,NA,NA,90,4,NA,48
10.4912742174382,10.77895628989,12.0317192583854,NA,69,16,NA,50,9,NA,NA,NA,NA,NA,NA,NA,41
10.4341158035983,9.61580548008435,NA,NA,62,4,64,NA,NA,NA,65,8,50,NA,NA,38,26
NA,NA,NA,NA,60,4,62,NA,NA,NA,NA,NA,NA,NA,NA,NA,24
NA,10.5050675395706,6.90775527898214,NA,NA,30,NA,NA,30,NA,75,6,70,NA,NA,58,41
9.21034037197618,9.90348755253613,14.9141228466324,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29
11.6952470217642,12.3883942023241,14.0019901249069,NA,60,16,70,NA,NA,90,NA,NA,80,NA,NA,52,39
10.4912742174382,NA,9.61580548008435,NA,60,20,NA,60,10,NA,50,50,NA,90,6,55,50
NA,NA,9.21034037197618,NA,40,58,75,NA,NA,NA,65,25,NA,75,9,70,63
