"id","male","age","partners","livestock","land","RS","fid","agef","partnersf","livestockf","landf","RSf","has_parent_by"
"e5lag",0,13,NA,NA,NA,NA,"mi8au",90,2,110,160,31,FALSE
"o5yug",1,40,NA,9,6,12,"j9eh9",74,0,30,33,13,FALSE
"ifw1i",1,32,2,7,15,6,"sigh5",85,0,55,70,21,FALSE
"z0gz3",0,40,NA,6,18,7,"fiaob",93,2,70,150,25,FALSE
"gb9bp",0,46,NA,10,6,7,"ntlb9",73,0,35,20,22,FALSE
"usyy1",0,35,NA,4,4,6,"heo0y",68,3,125,160,26,FALSE
"v5tsz",0,30,1,10,10,3,"ls6vw",84,3,70,90,24,FALSE
"k92s2",1,77,1,35,30,14,NA,NA,NA,NA,NA,NA,TRUE
"x0pnt",1,40,1,25,7,5,"mdy6x",85,3,110,100,32,FALSE
"e2ebn",0,34,NA,4,7,5,NA,NA,NA,NA,NA,NA,FALSE
"ammtd",1,90,1,12,20,23,NA,NA,NA,NA,NA,NA,TRUE
"q0a9i",1,50,NA,10,7,5,"uaf9m",80,1,60,55,14,FALSE
"vq792",1,63,NA,25,25,25,NA,NA,NA,NA,NA,NA,TRUE
"mtan8",0,28,NA,NA,NA,NA,"z68w8",79,1,30,32,20,FALSE
"ziknx",1,53,NA,40,27,12,NA,NA,NA,NA,NA,NA,FALSE
"j4ele",0,34,0,12,20,6,"yareh",73,3,95,120,12,FALSE
"ribdt",1,39,NA,12,15,6,"yareh",73,3,95,120,12,FALSE
"vp0wd",1,47,0,14,17,17,"hi02h",84,4,150,300,41,FALSE
"gj1zp",0,42,NA,8,8,4,"pdszl",83,0,20,20,14,FALSE
"scpzh",0,39,NA,NA,NA,NA,"uaf9m",80,1,60,55,14,FALSE
"ufg9w",1,71,2,35,30,24,NA,NA,NA,NA,NA,NA,TRUE
"whw3p",1,50,2,30,17,7,"hi02h",84,4,150,300,41,FALSE
"vqkt0",0,68,NA,6,15,7,NA,NA,NA,NA,NA,NA,TRUE
"zh2rg",1,37,0,15,4,8,"z68w8",79,1,30,32,20,FALSE
"r3759",1,32,2,20,14,4,"zgl66",71,2,35,30,24,FALSE
"dwkr7",0,35,NA,9,9,7,NA,NA,NA,NA,NA,NA,FALSE
"wjd5v",1,44,2,15,7,4,"vjk8z",92,3,75,100,29,FALSE
"o6e3j",0,86,NA,1,3,11,NA,NA,NA,NA,NA,NA,FALSE
"g7i6d",1,33,NA,12,15,7,NA,NA,NA,NA,NA,NA,FALSE
"prnru",0,63,NA,NA,NA,NA,"fiaob",93,2,70,150,25,TRUE
"klpqs",1,46,0,16,15,10,NA,NA,NA,NA,NA,NA,FALSE
"rd4x3",1,42,NA,5,6,8,NA,NA,NA,NA,NA,NA,FALSE
"ag9k2",1,59,NA,1,2,4,"mdy6x",85,3,110,100,32,FALSE
"xc82a",0,80,NA,3,4,5,NA,NA,NA,NA,NA,NA,FALSE
"ak5p9",0,71,NA,0,4,2,NA,NA,NA,NA,NA,NA,TRUE
"e2v1r",0,36,NA,8,8,4,"qz761",66,1,40,25,10,FALSE
"dif68",0,69,NA,9,16,6,NA,NA,NA,NA,NA,NA,TRUE
"tf3fr",0,54,NA,4,25,4,NA,NA,NA,NA,NA,NA,FALSE
"du9g1",1,58,NA,35,60,41,NA,NA,NA,NA,NA,NA,TRUE
"htzu2",1,54,NA,30,7,12,NA,NA,NA,NA,NA,NA,FALSE
"pv7v1",1,55,2,30,17,12,"fiaob",93,2,70,150,25,FALSE
"dm3i9",1,42,NA,5,3,5,"ntlb9",73,0,35,20,22,FALSE
"dh49m",1,34,NA,4,7,4,"ls6vw",84,3,70,90,24,FALSE
"g03j0",1,55,NA,10,3,5,"pdszl",83,0,20,20,14,FALSE
"m3b4c",0,35,NA,9,6,7,NA,NA,NA,NA,NA,NA,FALSE
"d61nm",1,66,2,65,80,24,NA,NA,NA,NA,NA,NA,TRUE
"qy8s5",0,39,NA,NA,NA,NA,"dzg2c",87,2,60,44,21,FALSE
"mtdfx",0,36,NA,6,6,4,"mi8au",90,2,110,160,31,FALSE
"w81iz",1,31,NA,6,7,7,"ls6vw",84,3,70,90,24,FALSE
"vognn",0,38,0,10,14,8,"zgl66",71,2,35,30,24,FALSE
"yy8y5",1,38,1,10,13,14,"heo0y",68,3,125,160,26,FALSE
"f7yye",0,51,0,10,8,6,"dzg2c",87,2,60,45,21,FALSE
"ln5uh",0,73,2,14,7,5,NA,NA,NA,NA,NA,NA,FALSE
"y5pzl",0,79,3,14,17,8,NA,NA,NA,NA,NA,NA,TRUE
"yffvo",1,46,2,30,11,6,"lnlna",75,3,100,50,17,FALSE
"gv60j",0,75,NA,0,2,5,NA,NA,NA,NA,NA,NA,TRUE
"c3gme",1,51,3,25,30,20,NA,NA,NA,NA,NA,NA,FALSE
"gnv72",1,85,3,110,100,32,NA,NA,NA,NA,NA,NA,TRUE
"jlq1l",0,46,1,10,8,8,"wmcef",79,0,20,45,23,FALSE
"t8nh1",1,34,NA,2,4,4,"z68w8",79,1,30,32,20,FALSE
"bnvgu",0,37,NA,11,5,3,NA,NA,NA,NA,NA,NA,FALSE
"w454n",1,55,NA,11,15,5,NA,NA,NA,NA,NA,NA,FALSE
"othsp",0,35,NA,NA,NA,NA,"mdy6x",85,3,110,100,32,FALSE
"cx59u",1,41,NA,18,11,11,"lnlna",75,3,100,50,17,FALSE
