"id","sex","age","rs","fid","mid"
"q7855",2,"21.1",1,"xes7k","i0y0q"
"wo0cs",2,"27.3",2,"asbyd","wea58"
"asbyd",1,"61.3",7,"fmjck","r364d"
"l15fp",2,"20.9",1,"smrgm","g8fa1"
"i518b",1,"19.1",NA,"smrgm","g8fa1"
"pir4h",1,"33.5",NA,"asbyd","wea58"
"wmsis",1,"29.7",NA,"qcbex","oa486"
"s3es1",1,"45.6",6,"gk4uc","g846x"
"szkrc",1,"55.1",4,"dguv4","rdwc7"
"zsjhx",2,"24.9",0,"w24h5","dyzfa"
"yznl9",1,"37.0",3,"gk4uc","g846x"
"jqeek",2,"48.7",6,"owisa","b3ziq"
"qodoo",2,"23.2",0,"vrves","zg89p"
"b515g",2,"54.1",0,"fa7k8","atlhz"
"dgys2",1,"51.7",9,"wknl2","grodx"
"v7rru",2,"48.7",6,"ntnwh","qm35q"
"w61ne",2,"24.7",NA,"smrgm","g8fa1"
"egvqr",1,"22.1",0,"ilmfz","jj6xx"
"lse5w",1,"53.3",3,"oojgc","ira7p"
"c9281",2,"46.7",4,"oojgc","ira7p"
"hl7qs",1,"46.7",10,"dguv4","rdwc7"
"ff0if",1,"68.7",10,"e4zuf","bwo8l"
"plju9",1,"46.7",1,"fa7k8","atlhz"
"d9u14",1,"55.2",5,"fmjck","r364d"
"gki92",2,"21.6",0,"qjeh0","qtnyw"
"fdrsi",2,"32.9",0,"k1xnk","d9ibi"
"gmf24",2,"29.3",3,NA,NA
"ofe9b",2,"25.9",2,"qjeh0","qtnyw"
"vahb0",1,"28.1",1,"owisa","b3ziq"
"vdzzv",1,"70.0",0,"yoxlp","er4ni"
"jjviu",1,"39.1",3,"tnli7","sspbj"
"jc77z",1,"45.0",13,"wbfl4","rzilg"
"ljnrz",2,"27.8",5,"rz82v","klm26"
"hk737",1,"38.6",2,"v2ttr","dr99y"
"pnx3b",2,"20.3",1,NA,NA
"qous8",2,"42.2",2,"dlnwe","py2py"
"b4wjq",2,"33.5",0,"qjeh0","qtnyw"
"hq9yu",2,"23.6",2,"szkrc","c8kfb"
"idiuk",2,"19.4",NA,"vrves","zg89p"
"irugv",1,"78.0",3,"bzxn8","e49nh"
"i7k2o",1,"41.8",NA,"irugv","c618m"
"r6ln0",2,"36.7",4,"x0x2u","zpznx"
"jnqer",1,"19.3",0,"ia44h","pqce0"
"f6zk8",2,"22.5",1,"ov9ns","yfgdf"
"addos",2,"41.1",8,NA,NA
"k1xnk",1,"68.2",5,"oojgc","ira7p"
"oa486",2,"46.5",5,"zggu8","n7pe3"
"cn81b",1,"24.2",0,"s3es1","fa8c9"
"kxh80",1,"26.2",2,"xk52i","dk30f"
"dr99y",2,"60.2",6,"m069x","neshn"
"vqett",2,"25.0",NA,"nr6hk","j8wr1"
"dguv4",1,"72.5",6,"ztxbk","qaxm9"
"krno0",2,"31.1",4,"rz82v","klm26"
"e4zuf",1,"85.0",4,NA,NA
"c618m",2,"55.0",3,"mzo3p","ytydj"
