"id","male","age","ed","idf","agef","edf","code","idm","agem","edm"
"jn1ir",0,36,0,"ev6ni",71,0,"fd",NA,NA,NA
"drhrp",0,31,0,NA,NA,NA,"md","hniud",65,0
"set6y",0,47,0,NA,NA,NA,"md","isp5k",78,0
"fwm5h",0,17,9,NA,NA,NA,"md","f36s7",40,0
"fpf4t",0,26,9,NA,NA,NA,"md","l1wk4",67,0
"evrrl",1,18,9,"r88ux",43,9,"fs",NA,NA,NA
"hr7vx",0,20,13,NA,NA,NA,"md","hsbzy",39,0
"gu9ud",1,36,5,NA,NA,NA,"ms","ewtnl",75,0
"ey6wj",1,36,0,NA,NA,NA,"ms","hbbz3",57,0
"a7ixq",1,37,9,NA,NA,NA,"ms","pf36b",68,0
"d8if8",0,43,0,"g4jvl",70,5,"fd",NA,NA,NA
"wjq2w",1,34,0,NA,NA,NA,"ms","qo2k5",53,0
"hbo87",0,42,6,NA,NA,NA,"md","e5j0g",70,0
"j1seo",0,39,0,NA,NA,NA,"md","uooum",74,0
"kg44t",1,38,9,NA,NA,NA,"ms","wsmgs",66,0
"cswed",1,33,9,"uzug6",62,3,"fs",NA,NA,NA
"qpes8",0,18,11,NA,NA,NA,"md","pb5kv",43,0
"tlv3h",1,17,6,"eh2nl",46,6,"fs",NA,NA,NA
"pwndw",0,40,0,"b45ws",59,5,"fd",NA,NA,NA
"eff3v",0,23,6,"gj276",55,6,"fd",NA,NA,NA
"zqkxp",1,30,6,"ka6b5",73,0,"fs",NA,NA,NA
"fojad",0,18,9,"aj9kc",42,0,"fd",NA,NA,NA
"zf70w",0,32,0,"dh644",61,0,"fd",NA,NA,NA
"oyxao",1,25,4,NA,NA,NA,"ms","jb0ns",55,0
"efu3r",1,34,0,"ba3vh",59,6,"fs",NA,NA,NA
"v27s5",1,25,9,"cjruj",55,9,"fs",NA,NA,NA
"goqqi",1,27,16,NA,NA,NA,"ms","il9la",51,0
"sn4tj",1,21,9,NA,NA,NA,"ms","j3mol",44,6
"hx9z7",0,38,0,"ju28f",60,0,"fd",NA,NA,NA
"r2vfh",1,27,8,NA,NA,NA,"ms","fxk3d",46,0
"iaj7v",0,66,0,NA,NA,NA,"md","blntz",88,0
"ys09h",0,40,0,NA,NA,NA,"md","cpwgz",59,0
"pmrpx",0,31,0,NA,NA,NA,"md","e1ss0",61,0
"ndfau",0,18,14,NA,NA,NA,"md","vre33",43,0
"wrbr5",0,22,6,NA,NA,NA,"md","retho",44,3
"f8gby",1,39,2,NA,NA,NA,"ms","su58r",67,0
"bbx9l",1,40,6,"j2fcz",66,0,"fs",NA,NA,NA
"jsan6",1,42,6,NA,NA,NA,"ms","ljd2v",62,0
"r88ux",1,43,9,NA,NA,NA,"ms","x1pnr",79,0
"f0cws",0,25,3,NA,NA,NA,"md","hpcil",52,0
"bvwpb",0,36,0,NA,NA,NA,"md","mk5hj",63,0
"q9jy3",1,23,4,"wxmhg",54,0,"fs",NA,NA,NA
"iv6hz",0,21,12,"k29tj",45,6,"fd",NA,NA,NA
"gdhgd",0,34,9,NA,NA,NA,"md","ljd2v",62,0
"j8013",0,28,6,NA,NA,NA,"md","p9wkf",52,0
"tuabz",1,31,7,"xap9e",59,0,"fs",NA,NA,NA
"n0ldq",0,31,12,NA,NA,NA,"md","yurld",73,0
"by9bq",0,35,9,NA,NA,NA,"md","pnf5r",66,0
"b7vyp",1,36,0,NA,NA,NA,"ms","e3gek",63,0
"qtgpd",0,20,9,NA,NA,NA,"md","d8if8",43,0
"tpzqw",0,21,9,"e45l2",55,9,"fd",NA,NA,NA
"ryb7x",1,47,6,NA,NA,NA,"ms","cnbvf",74,0
"poaet",0,19,6,"eh2nl",46,6,"fd",NA,NA,NA
"zjk5w",1,25,9,"b45ws",59,5,"fs",NA,NA,NA
"dgto9",1,28,9,NA,NA,NA,"ms","rsjod",52,6
"itzk4",0,36,0,NA,NA,NA,"md","hniud",65,0
"mqe89",1,44,9,NA,NA,NA,"ms","tyj60",77,0
"evrrl",1,18,9,NA,NA,NA,"ms","v3m6o",44,0
"ia6ib",0,51,6,"soet5",83,0,"fd",NA,NA,NA
"f8v13",0,32,0,NA,NA,NA,"md","z0xxh",56,0
"yllix",0,23,12,NA,NA,NA,"md","hbo87",42,6
"sms4j",1,18,9,NA,NA,NA,"ms","vl4up",38,0
"sxvva",0,40,0,NA,NA,NA,"md","ez6rw",66,0
"msy6s",1,31,3,NA,NA,NA,"ms","mrlhx",72,0
"b8uuy",0,66,0,NA,NA,NA,"md","ju4w8",91,0
"qfu4u",0,27,12,NA,NA,NA,"md","e1ss0",61,0
"vzsh0",1,42,12,"svm7v",76,9,"fs",NA,NA,NA
"zy9a3",1,47,9,NA,NA,NA,"ms","mrlhx",72,0
"m55rp",0,37,0,NA,NA,NA,"md","d7q5r",70,0
"tv25x",1,52,9,NA,NA,NA,"ms","przl7",72,0
"djmri",0,42,4,NA,NA,NA,"md","tyj60",77,0
"calad",0,21,12,"lgcn4",53,0,"fd",NA,NA,NA
"fbebi",1,31,6,NA,NA,NA,"ms","h60ab",67,0
"iy46t",1,31,9,NA,NA,NA,"ms","zdkja",68,0
"ed20a",1,22,6,NA,NA,NA,"ms","s0ava",45,0
"sx8wu",0,34,6,NA,NA,NA,"md","yagwa",63,0
"bn1xz",1,17,12,"qzgpy",44,6,"fs",NA,NA,NA
"tlv3h",1,17,6,NA,NA,NA,"ms","ydtp2",42,0
"gur6e",0,37,6,NA,NA,NA,"md","yagwa",63,0
"cljq2",0,30,6,NA,NA,NA,"md","zdkja",68,0
"ykov5",0,24,8,"mflm3",52,0,"fd",NA,NA,NA
"zpbzk",0,25,16,"vss1w",52,12,"fd",NA,NA,NA
"j2i1x",1,19,9,"nhu98",45,2,"fs",NA,NA,NA
"tqf3o",0,18,9,NA,NA,NA,"md","x8grl",39,0
"jxqmt",1,21,9,"buqvq",51,0,"fs",NA,NA,NA
"oa0tg",0,27,6,NA,NA,NA,"md","dchvt",70,0
"j11gs",1,27,6,"z7k1t",54,6,"fs",NA,NA,NA
"dldg3",0,51,12,NA,NA,NA,"md","dchvt",70,0
"joaxk",1,31,9,NA,NA,NA,"ms","blmp6",80,0
"xo1dk",0,42,0,NA,NA,NA,"md","uooum",74,0
"zqkxp",1,30,6,NA,NA,NA,"ms","jxhqi",65,0
"dgto9",1,28,9,"xzied",55,15,"fs",NA,NA,NA
"vz3xp",1,46,9,NA,NA,NA,"ms","wsmgs",66,0
"ymf7a",1,25,12,NA,NA,NA,"ms","kb84o",45,0
"hx9z7",0,38,0,NA,NA,NA,"md","jb0ns",55,0
"nvjr5",0,30,9,NA,NA,NA,"md","yagwa",63,0
"uz0pe",1,46,3,NA,NA,NA,"ms","blmp6",80,0
"d93e7",0,45,0,NA,NA,NA,"md","n81c9",63,0
"urdqv",1,51,0,NA,NA,NA,"ms","yn5mn",72,0
"vjjf1",0,41,6,NA,NA,NA,"md","rnixx",61,0
"qtgpd",0,20,9,"uz0pe",46,3,"fd",NA,NA,NA
"g2ksw",1,20,13,NA,NA,NA,"ms","fl02b",48,2
"lis3s",0,39,3,NA,NA,NA,"md","c1q2w",64,2
"ll8c6",0,43,6,NA,NA,NA,"md","npvvy",74,0
"xx1q5",1,42,0,NA,NA,NA,"ms","ewtnl",75,0
"dhaif",0,37,6,NA,NA,NA,"md","pnf5r",66,0
"c5eul",0,33,12,"ka6b5",73,0,"fd",NA,NA,NA
"v2jv0",1,32,6,NA,NA,NA,"ms","af5sv",59,0
"p6piq",1,32,15,"xzied",55,15,"fs",NA,NA,NA
"gy3i5",0,40,0,NA,NA,NA,"md","vcdmc",71,0
"c2o12",0,50,0,NA,NA,NA,"md","rp5vu",83,0
"dqicz",1,25,16,NA,NA,NA,"ms","er0th",44,0
"efbyj",1,39,0,"nbecg",62,0,"fs",NA,NA,NA
"y13pk",0,21,6,"gj276",55,6,"fd",NA,NA,NA
"mpugm",1,54,0,NA,NA,NA,"ms","uooum",74,0
"x8hk5",1,17,6,"cidb3",35,0,"fs",NA,NA,NA
"jdyrv",1,32,6,NA,NA,NA,"ms","qbvjo",61,0
"bojob",1,29,0,NA,NA,NA,"ms","mk5hj",63,0
"t1bgd",0,23,3,"ju28f",60,0,"fd",NA,NA,NA
"wbx7r",1,17,8,"dkb9e",38,6,"fs",NA,NA,NA
"mvu3l",0,41,0,"g4jvl",70,5,"fd",NA,NA,NA
"n93r4",1,21,12,"kfyoa",52,0,"fs",NA,NA,NA
"lkxk3",1,34,3,"soet5",83,0,"fs",NA,NA,NA
"s2xfn",1,51,0,NA,NA,NA,"ms","e25ge",75,0
"gu9f3",1,30,0,"ev6ni",71,0,"fs",NA,NA,NA
"t7mas",0,27,9,NA,NA,NA,"md","warr6",49,0
"t2szr",0,34,0,NA,NA,NA,"md","hbbz3",57,0
"gqx1t",0,25,6,NA,NA,NA,"md","lsco1",45,0
"qd1ia",0,31,0,NA,NA,NA,"md","jb0ns",55,0
"dfpny",0,35,12,"yvzpn",65,0,"fd",NA,NA,NA
"egg1u",1,47,9,NA,NA,NA,"ms","g7gzw",75,0
"yfspc",1,23,16,"k29tj",45,6,"fs",NA,NA,NA
"uwspw",1,22,6,"qgdo1",49,0,"fs",NA,NA,NA
"z8o0r",0,26,6,NA,NA,NA,"md","ycvzk",49,0
"zud3b",1,41,5,NA,NA,NA,"ms","w5u0x",68,0
"cm1cw",0,55,0,NA,NA,NA,"md","dphr1",76,0
"n4et3",1,25,6,"u5pd6",43,6,"fs",NA,NA,NA
"dhqow",0,26,9,NA,NA,NA,"md","e3gek",63,0
"ihjks",1,37,0,NA,NA,NA,"ms","hniud",65,0
"fleb9",1,38,9,NA,NA,NA,"ms","e3gek",63,0
"pchr6",1,34,4,NA,NA,NA,"ms","gnst1",58,0
"k386z",0,37,9,NA,NA,NA,"md","rz0al",71,0
"sowbd",0,18,9,NA,NA,NA,"md","o4w76",37,0
"gnzwj",1,39,0,NA,NA,NA,"ms","przl7",72,0
"nmy6p",1,29,6,"xiglu",54,6,"fs",NA,NA,NA
"wydzc",1,32,6,"r6ug4",54,6,"fs",NA,NA,NA
"yyceg",0,31,0,"botsj",58,6,"fd",NA,NA,NA
"stbpe",1,30,6,NA,NA,NA,"ms","eleij",64,0
"fpayt",1,22,9,NA,NA,NA,"ms","md3cf",45,0
"yojoh",0,24,9,NA,NA,NA,"md","or8ok",46,0
"bjsse",1,40,6,NA,NA,NA,"ms","isp5k",78,0
"i321w",1,24,1,NA,NA,NA,"ms","f0yq4",43,0
"hfst1",0,17,10,"aarvk",41,3,"fd",NA,NA,NA
"ms7og",0,43,9,NA,NA,NA,"md","mrlhx",72,0
"ecfwl",1,22,12,"uz0pe",46,3,"fs",NA,NA,NA
"rm0au",0,44,0,"hk4ni",71,0,"fd",NA,NA,NA
"bm0uu",0,30,12,"fpg0r",67,12,"fd",NA,NA,NA
"jp53i",1,42,6,"vk71d",67,0,"fs",NA,NA,NA
"etdmh",0,24,12,NA,NA,NA,"md","xx094",58,0
"dume2",0,25,6,NA,NA,NA,"md","t7r5b",50,0
"kuioj",0,30,6,NA,NA,NA,"md","jbg0v",56,0
"j3r7v",1,47,0,NA,NA,NA,"ms","su58r",67,0
"d66x3",1,29,9,"brr2s",56,0,"fs",NA,NA,NA
"lphc7",0,18,10,NA,NA,NA,"md","vmybm",39,0
"kcm2q",0,40,15,"bxyuq",62,0,"fd",NA,NA,NA
"n93r4",1,21,12,NA,NA,NA,"ms","zny2x",44,0
"kinxl",1,21,12,NA,NA,NA,"ms","svpq3",52,6
"a8zly",0,22,9,NA,NA,NA,"md","eqshu",48,0
"dhaif",0,37,6,"isbkk",72,15,"fd",NA,NA,NA
"l3qg7",0,26,9,"hir2n",51,9,"fd",NA,NA,NA
"lis3s",0,39,3,"v6v0o",75,0,"fd",NA,NA,NA
"h0r86",0,30,6,NA,NA,NA,"md","qo2k5",53,0
"an9v2",1,50,12,"poefa",69,12,"fs",NA,NA,NA
"qz57o",1,19,11,NA,NA,NA,"ms","s1ud0",38,0
"alf1v",1,28,16,"qoh9m",55,6,"fs",NA,NA,NA
"h7ogn",0,34,12,NA,NA,NA,"md","feltt",51,3
"noolj",1,32,3,NA,NA,NA,"ms","luuj9",56,2
"l0i64",0,20,13,NA,NA,NA,"md","tahdq",44,8
"aiyud",1,33,9,"v6v0o",75,0,"fs",NA,NA,NA
"hobxp",1,18,9,"tvzv7",45,4,"fs",NA,NA,NA
"n2wvp",1,28,9,NA,NA,NA,"ms","cvjyy",57,0
"tqz1b",0,28,0,"hmz30",50,0,"fd",NA,NA,NA
"qzem3",1,35,9,NA,NA,NA,"ms","tdl6v",59,0
"q4iu2",0,32,9,NA,NA,NA,"md","xnz82",58,0
"tlab1",1,28,0,NA,NA,NA,"ms","npvvy",74,0
"fpc79",1,22,16,"fk962",55,6,"fs",NA,NA,NA
"igu74",0,29,0,NA,NA,NA,"md","ec5k1",54,0
"tsudt",0,24,6,NA,NA,NA,"md","zny2x",44,0
"uihc7",0,27,16,NA,NA,NA,"md","pvjb2",57,0
"zm4y9",0,36,0,NA,NA,NA,"md","y3jc9",66,0
"i321w",1,24,1,"h331g",49,0,"fs",NA,NA,NA
"jq4y4",0,30,16,NA,NA,NA,"md","pje53",55,0
"t5wjm",0,18,9,"uj2xa",42,0,"fd",NA,NA,NA
"ajn23",0,46,9,NA,NA,NA,"md","vcdmc",71,0
"g2ksw",1,20,13,"n2c5b",46,5,"fs",NA,NA,NA
"m2aut",0,43,0,"swh3q",70,0,"fd",NA,NA,NA
"oudsf",1,22,6,NA,NA,NA,"ms","f0yq4",43,0
"dzg1q",0,18,11,NA,NA,NA,"md","t7ok6",42,0
"jq9au",1,32,0,NA,NA,NA,"ms","tdl6v",59,0
"yhag3",0,53,0,NA,NA,NA,"md","ewtnl",75,0
"gj276",1,55,6,NA,NA,NA,"ms","ma8uh",82,0
"xyg5s",1,46,9,NA,NA,NA,"ms","iaj7v",66,0
"dnrav",0,41,12,NA,NA,NA,"md","iaj7v",66,0
"ike4c",0,37,0,"j2fcz",66,0,"fd",NA,NA,NA
"yjyv2",0,25,4,NA,NA,NA,"md","dmi0m",51,0
"w1epx",0,43,0,NA,NA,NA,"md","pf36b",68,0
"meenh",1,29,9,NA,NA,NA,"ms","warr6",49,0
"rm0au",0,44,0,NA,NA,NA,"md","mk5hj",63,0
"yd276",0,43,9,NA,NA,NA,"md","su58r",67,0
"ucz1f",0,43,0,"poefa",69,12,"fd",NA,NA,NA
"jdyrv",1,32,6,"nbecg",62,0,"fs",NA,NA,NA
"u6v0x",0,46,6,NA,NA,NA,"md","npvvy",74,0
"gupqo",0,29,6,"j2fcz",66,0,"fd",NA,NA,NA
"accix",1,27,9,"fpg0r",67,12,"fs",NA,NA,NA
"kdbi3",0,30,6,NA,NA,NA,"md","ngxb1",58,0
"ecfu4",1,46,0,NA,NA,NA,"ms","olzd0",67,0
"p6piq",1,32,15,NA,NA,NA,"ms","rsjod",52,6
"d0cjq",1,37,0,"vk71d",67,0,"fs",NA,NA,NA
"czc50",0,31,3,NA,NA,NA,"md","fx58w",62,0
"ke509",1,55,16,NA,NA,NA,"ms","ju4w8",91,0
"qeota",0,37,6,NA,NA,NA,"md","eleij",64,0
"uduik",0,34,16,NA,NA,NA,"md","jc5d9",70,0
"qlqmd",0,20,13,"b14rq",47,12,"fd",NA,NA,NA
"vbpdf",1,41,0,NA,NA,NA,"ms","qavey",86,0
"x8qzf",0,45,0,NA,NA,NA,"md","w5u0x",68,0
"abmji",1,36,6,NA,NA,NA,"ms","x0jgd",59,0
"fojad",0,18,9,NA,NA,NA,"md","lis3s",39,3
"kzgcb",1,24,9,NA,NA,NA,"ms","ycvzk",49,0
"ed884",0,18,12,NA,NA,NA,"md","zvuzt",42,0
"wf0lf",1,44,0,NA,NA,NA,"ms","hniud",65,0
"snpmf",0,36,0,NA,NA,NA,"md","e1ss0",61,0
"ml50o",1,36,9,"hee22",66,0,"fs",NA,NA,NA
"snpmf",0,36,0,"ba3vh",59,6,"fd",NA,NA,NA
"a2suh",0,51,0,NA,NA,NA,"md","bls1j",71,0
"hobxp",1,18,9,NA,NA,NA,"ms","hsbzy",39,0
"dkzzw",0,42,0,NA,NA,NA,"md","ma8uh",82,0
"qyv1k",0,25,9,"x3v9i",52,9,"fd",NA,NA,NA
"pli1y",1,35,12,NA,NA,NA,"ms","rnixx",61,0
"wy2x2",1,27,6,NA,NA,NA,"ms","jvweu",55,0
"fmv4h",0,23,12,"x3v9i",52,9,"fd",NA,NA,NA
"o064w",1,44,5,NA,NA,NA,"ms","bls1j",71,0
"ni752",0,18,9,"qiaru",46,4,"fd",NA,NA,NA
"v03mt",1,20,4,NA,NA,NA,"ms","jb0ns",55,0
"ud2gv",1,35,0,NA,NA,NA,"ms","dabuy",66,0
"azgfp",1,34,9,NA,NA,NA,"ms","o2rm6",51,0
"vnf70",0,41,6,NA,NA,NA,"md","cnbvf",74,0
"brqqp",1,20,9,NA,NA,NA,"ms","jvprb",46,0
"gc3e2",0,36,9,"fpg0r",67,12,"fd",NA,NA,NA
"zpbzk",0,25,16,NA,NA,NA,"md","fxk3d",46,0
"ro5ya",0,53,0,NA,NA,NA,"md","t7ar0",80,0
"x1egh",0,39,6,NA,NA,NA,"md","qgg2k",62,0
"wy2x2",1,27,6,"r6ug4",54,6,"fs",NA,NA,NA
"q3xpq",0,23,16,NA,NA,NA,"md","t7r5b",50,0
"et09w",1,27,16,NA,NA,NA,"ms","hpcil",52,0
"poaet",0,19,6,NA,NA,NA,"md","ydtp2",42,0
"rbfjr",0,25,6,"dh644",61,0,"fd",NA,NA,NA
"v82gw",0,31,9,NA,NA,NA,"md","e3gek",63,0
"u2f31",1,22,12,NA,NA,NA,"ms","rw686",44,0
"wuj09",0,25,9,"oa21f",61,9,"fd",NA,NA,NA
"ofai0",0,30,9,"mihe1",57,0,"fd",NA,NA,NA
"i9v2a",0,18,12,NA,NA,NA,"md","qew2w",38,0
"ud0vy",1,20,16,"jyumi",45,6,"fs",NA,NA,NA
"hir2n",1,51,9,NA,NA,NA,"ms","x1pnr",79,0
"d66x3",1,29,9,NA,NA,NA,"ms","g6r1a",49,0
"n2xfl",0,27,9,"brr2s",56,0,"fd",NA,NA,NA
"vzsh0",1,42,12,NA,NA,NA,"ms","dd0mp",67,0
"zaiwq",1,39,5,NA,NA,NA,"ms","marb1",72,0
"wglx6",0,26,8,"z8fzd",49,0,"fd",NA,NA,NA
"ql0gd",1,34,12,"xap9e",59,0,"fs",NA,NA,NA
"aiyud",1,33,9,NA,NA,NA,"ms","c1q2w",64,2
"km1cy",1,33,4,"yvzpn",65,0,"fs",NA,NA,NA
"pzmvq",1,34,9,NA,NA,NA,"ms","qgg2k",62,0
"ly0wc",1,25,6,"olivu",56,0,"fs",NA,NA,NA
"p8a61",0,21,6,NA,NA,NA,"md","ydtp2",42,0
"f8s6e",0,18,9,"n1qzu",49,9,"fd",NA,NA,NA
"si8hn",0,38,0,NA,NA,NA,"md","jxhqi",65,0
"yjmd6",0,24,9,"s2xfn",51,0,"fd",NA,NA,NA
"s1fw3",0,23,0,NA,NA,NA,"md","kn74n",43,0
"fld5u",0,61,0,NA,NA,NA,"md","dslhv",86,0
"qtq5b",0,41,0,NA,NA,NA,"md","tugwy",62,0
"f0wxg",1,23,9,NA,NA,NA,"ms","rudxo",50,0
"t7mas",0,27,9,"d8ng1",55,5,"fd",NA,NA,NA
"a5zvm",1,27,9,NA,NA,NA,"ms","yagwa",63,0
"gnu27",1,31,6,"v6v0o",75,0,"fs",NA,NA,NA
"xyepl",0,18,6,NA,NA,NA,"md","hqs65",45,0
"urhno",0,20,13,NA,NA,NA,"md","dmi0m",51,0
"deta4",1,50,6,NA,NA,NA,"ms","vykrb",77,0
"ma6im",0,31,0,"g4jvl",70,5,"fd",NA,NA,NA
"ed884",0,18,12,"avh6a",50,6,"fd",NA,NA,NA
"zkrc2",1,25,6,"w6d0n",54,6,"fs",NA,NA,NA
"cca4h",1,32,1,NA,NA,NA,"ms","qo2k5",53,0
"sowbd",0,18,9,"edj85",37,0,"fd",NA,NA,NA
"fjdrr",1,43,9,NA,NA,NA,"ms","c1q2w",64,2
"jn1ir",0,36,0,NA,NA,NA,"md","wsmgs",66,0
"cwpbn",0,23,12,NA,NA,NA,"md","vre33",43,0
"k1ryj",0,38,0,NA,NA,NA,"md","x0jgd",59,0
"g29n5",1,25,6,"qgdo1",49,0,"fs",NA,NA,NA
"e185n",1,39,0,NA,NA,NA,"ms","lbyab",66,0
"x0200",0,30,0,NA,NA,NA,"md","ji6gp",55,0
"bk0xu",1,34,9,"xzied",55,15,"fs",NA,NA,NA
"cidb3",1,35,0,NA,NA,NA,"ms","ma8uh",82,0
"oybv6",0,38,3,"rnu4q",67,0,"fd",NA,NA,NA
"lcip5",0,31,9,NA,NA,NA,"md","dmi0m",51,0
"ht7ff",0,41,0,"v6v0o",75,0,"fd",NA,NA,NA
"ip646",0,32,2,NA,NA,NA,"md","przl7",72,0
"i8cly",1,36,9,NA,NA,NA,"ms","zdkja",68,0
"ts77e",1,44,16,NA,NA,NA,"ms","y3jc9",66,0
"u2f31",1,22,12,"jwoey",42,9,"fs",NA,NA,NA
"tqz1b",0,28,0,NA,NA,NA,"md","o2rm6",51,0
"b14rq",1,47,12,NA,NA,NA,"ms","x1pnr",79,0
"kjdj5",0,43,0,NA,NA,NA,"md","sv29k",75,0
"jxqmt",1,21,9,NA,NA,NA,"ms","or8ok",46,0
"qsydp",0,30,6,NA,NA,NA,"md","feltt",51,3
"ro13q",1,32,6,"vk71d",67,0,"fs",NA,NA,NA
"jldrr",1,34,12,NA,NA,NA,"ms","g6qzh",59,0
"txdzz",1,17,11,NA,NA,NA,"ms","vpsdw",37,3
"s1fw3",0,23,0,"fk962",55,6,"fd",NA,NA,NA
"vy7je",0,20,8,"mflm3",52,0,"fd",NA,NA,NA
"bg22a",1,51,12,NA,NA,NA,"ms","dd0mp",67,0
"wydzc",1,32,6,NA,NA,NA,"ms","jvweu",55,0
"cxqum",1,35,9,"vju3z",78,0,"fs",NA,NA,NA
"ij35t",1,31,0,"uzug6",62,3,"fs",NA,NA,NA
"w1gim",1,41,6,NA,NA,NA,"ms","uhbch",61,0
"he5da",0,37,0,NA,NA,NA,"md","ez6rw",66,0
"h0r86",0,30,6,"z5vjj",65,9,"fd",NA,NA,NA
"efu3r",1,34,0,NA,NA,NA,"ms","e1ss0",61,0
"nkv23",1,55,0,NA,NA,NA,"ms","gvexz",79,0
"q3xpq",0,23,16,"lk2l8",49,0,"fd",NA,NA,NA
"gk29m",1,26,6,NA,NA,NA,"ms","y66ti",46,6
"mwy8c",0,23,6,"xoe6x",48,6,"fd",NA,NA,NA
"izzo7",0,21,7,"jr8y8",46,0,"fd",NA,NA,NA
"hn8vj",0,36,0,NA,NA,NA,"md","yurld",73,0
"ykov5",0,24,8,NA,NA,NA,"md","fviv4",56,0
"qzem3",1,35,9,"rnu4q",67,0,"fs",NA,NA,NA
"gyx1r",0,32,16,NA,NA,NA,"md","xmopb",56,4
"h8xr3",1,18,6,NA,NA,NA,"ms","k7nle",41,6
"bjew9",0,30,6,NA,NA,NA,"md","t7r5b",50,0
"z49ik",1,25,6,NA,NA,NA,"ms","z0xxh",56,0
"nur2u",0,32,0,NA,NA,NA,"md","crn3q",51,0
"n96mn",0,28,0,"v0hrc",52,0,"fd",NA,NA,NA
"ulul0",1,39,9,NA,NA,NA,"ms","mrlhx",72,0
"k1oc7",0,22,16,"m9uvu",56,0,"fd",NA,NA,NA
"jldrr",1,34,12,"hrn6i",65,0,"fs",NA,NA,NA
"f296h",0,25,12,NA,NA,NA,"md","xaibu",57,6
"i8t6h",1,37,16,NA,NA,NA,"ms","dabuy",66,0
"sbf43",1,37,0,NA,NA,NA,"ms","hbbz3",57,0
"x0jgd",0,59,0,NA,NA,NA,"md","e09h5",83,0
"wjzdv",1,36,9,NA,NA,NA,"ms","n5jn3",59,0
"uesel",1,21,6,"fkwhg",38,6,"fs",NA,NA,NA
"sxj6u",0,41,6,NA,NA,NA,"md","pnf5r",66,0
"cswed",1,33,9,NA,NA,NA,"ms","ohduy",61,3
"hinp8",0,45,0,NA,NA,NA,"md","iz5py",79,0
"tg1xw",1,39,9,NA,NA,NA,"ms","zgpi8",67,0
"ueb7e",1,30,6,NA,NA,NA,"ms","i4tn1",60,0
"ychm1",1,32,0,NA,NA,NA,"ms","ejodp",68,0
"dn2v0",1,34,1,NA,NA,NA,"ms","uooum",74,0
"bgxto",0,42,0,NA,NA,NA,"md","bls1j",71,0
"zcw9w",0,27,12,NA,NA,NA,"md","rudxo",50,0
"fmv4h",0,23,12,NA,NA,NA,"md","l0svu",46,0
"yvaea",0,34,0,NA,NA,NA,"md","e3gek",63,0
"x2za3",0,32,0,"kbzgk",66,0,"fd",NA,NA,NA
"sww5x",1,40,5,NA,NA,NA,"ms","marb1",72,0
"cych3",0,27,6,"w7u89",41,0,"fd",NA,NA,NA
"w4t3d",1,39,2,NA,NA,NA,"ms","ez6rw",66,0
"op354",0,31,0,NA,NA,NA,"md","xsde5",53,0
"n4et3",1,25,6,NA,NA,NA,"ms","jvprb",46,0
"swob3",1,20,9,NA,NA,NA,"ms","rw686",44,0
"ox6lt",0,34,0,NA,NA,NA,"md","fx58w",62,0
"x61ki",0,22,16,NA,NA,NA,"md","q5bdn",45,0
"hx8a8",1,30,9,NA,NA,NA,"ms","b8uuy",66,0
"p8a61",0,21,6,"eh2nl",46,6,"fd",NA,NA,NA
"n7k93",1,20,9,NA,NA,NA,"ms","ycvzk",49,0
"bpxa2",1,38,0,NA,NA,NA,"ms","yuyda",69,0
"uduik",0,34,16,"ibf39",71,0,"fd",NA,NA,NA
"jsqw4",1,18,12,NA,NA,NA,"ms","v84qe",44,0
"ro13q",1,32,6,NA,NA,NA,"ms","n81c9",63,0
"e5fby",1,38,6,NA,NA,NA,"ms","rnixx",61,0
"wbx7r",1,17,8,NA,NA,NA,"ms","syy4t",36,0
"fpe2o",1,22,6,"cddqt",43,0,"fs",NA,NA,NA
"q0quk",0,35,0,NA,NA,NA,"md","bls1j",71,0
"bst7n",1,31,4,NA,NA,NA,"ms","phcgm",60,0
"z33fq",0,44,0,NA,NA,NA,"md","ma8uh",82,0
"aj9kc",1,42,0,NA,NA,NA,"ms","v8m8j",64,0
"fpayt",1,22,9,"jr8y8",46,0,"fs",NA,NA,NA
"l13sm",1,22,12,NA,NA,NA,"ms","y66ti",46,6
"vkqoy",1,36,0,"soet5",83,0,"fs",NA,NA,NA
"l10kq",0,29,6,NA,NA,NA,"md","qbvjo",61,0
