"id","male","age","ed","idf","agef","edf","code","idm","agem","edm"
"x2za3",0,32,0,NA,NA,NA,"md","d17jl",57,0
"erxcw",1,23,12,"lgcn4",53,0,"fs",NA,NA,NA
"nr78x",0,25,12,"d8izv",47,9,"fd",NA,NA,NA
"af8kk",0,18,6,NA,NA,NA,"md","set6y",47,0
"rw3uk",0,21,6,NA,NA,NA,"md","m695c",48,0
"uta52",0,31,9,"bxyuq",62,0,"fd",NA,NA,NA
"ue5px",1,25,9,"brr2s",56,0,"fs",NA,NA,NA
"jsqw4",1,18,12,"jyumi",45,6,"fs",NA,NA,NA
"lphc7",0,18,10,"dgudo",40,0,"fd",NA,NA,NA
"fcn3p",0,21,6,NA,NA,NA,"md","retho",44,3
"jzbwb",1,46,4,"poefa",69,12,"fs",NA,NA,NA
"jp53i",1,42,6,NA,NA,NA,"ms","n81c9",63,0
"fb57i",1,30,6,NA,NA,NA,"ms","xx094",58,0
"m7ch0",1,50,1,NA,NA,NA,"ms","ewtnl",75,0
"gka95",0,29,6,"ba3vh",59,6,"fd",NA,NA,NA
"dsf6a",1,19,12,NA,NA,NA,"ms","tco84",40,0
"cmt63",0,25,0,NA,NA,NA,"md","eqshu",48,0
"sjno3",1,24,6,"e5wt3",55,6,"fs",NA,NA,NA
"a4p70",1,47,9,NA,NA,NA,"ms","t7ar0",80,0
"gwn92",0,36,0,NA,NA,NA,"md","ngxb1",58,0
"zk693",0,34,0,NA,NA,NA,"md","xnz82",58,0
"syy4t",0,36,0,NA,NA,NA,"md","v8m8j",64,0
"n96mn",0,28,0,NA,NA,NA,"md","vti8r",53,0
"u9nfc",1,24,12,NA,NA,NA,"ms","y66ti",46,6
"x8grl",0,39,0,NA,NA,NA,"md","phcgm",60,0
"m4jrc",1,34,6,NA,NA,NA,"ms","d17jl",57,0
"dz8r8",0,34,6,NA,NA,NA,"md","cm1cw",55,0
"oybv6",0,38,3,NA,NA,NA,"md","tdl6v",59,0
"h80mt",1,34,3,"b45ws",59,5,"fs",NA,NA,NA
"k183n",0,29,9,NA,NA,NA,"md","e3gek",63,0
"jm9a9",1,24,10,"xiglu",54,6,"fs",NA,NA,NA
"hx612",1,27,6,NA,NA,NA,"ms","mk5hj",63,0
"vto3q",0,35,9,"vju3z",78,0,"fd",NA,NA,NA
"f1aft",0,26,8,NA,NA,NA,"md","ohduy",61,3
"ofai0",0,30,9,NA,NA,NA,"md","idjmh",51,3
"jnmd6",0,25,7,NA,NA,NA,"md","f3436",55,0
"hoxc2",0,37,0,"xy1c6",65,0,"fd",NA,NA,NA
"p21b6",1,28,12,NA,NA,NA,"ms","feltt",51,3
"tmmv5",0,20,12,NA,NA,NA,"md","l0svu",46,0
"swx7r",1,45,8,NA,NA,NA,"ms","ewtnl",75,0
"sfyky",0,54,4,NA,NA,NA,"md","iz5py",79,0
"xzv1h",0,46,5,NA,NA,NA,"md","iz5py",79,0
"vre33",0,43,0,NA,NA,NA,"md","jc5d9",70,0
"wb5sr",1,22,6,NA,NA,NA,"ms","zvuzt",42,0
"qyv1k",0,25,9,NA,NA,NA,"md","l0svu",46,0
"f0wxg",1,23,9,"cjruj",55,9,"fs",NA,NA,NA
"a82uz",0,18,11,NA,NA,NA,"md","c0ro2",45,0
"ndmmn",1,28,9,NA,NA,NA,"ms","mrlhx",72,0
"zlwr5",1,21,16,"w6d0n",54,6,"fs",NA,NA,NA
"g977a",0,32,9,NA,NA,NA,"md","yagwa",63,0
"hg4yv",1,22,6,NA,NA,NA,"ms","w1ly9",58,0
"eoiq5",0,45,0,NA,NA,NA,"md","marb1",72,0
"t5wjm",0,18,9,NA,NA,NA,"md","f36s7",40,0
"v0y1o",0,30,9,NA,NA,NA,"md","xmopb",56,4
"ike4c",0,37,0,NA,NA,NA,"md","af5sv",59,0
"uldmw",0,40,9,NA,NA,NA,"md","fx58w",62,0
"zeoyi",0,44,0,NA,NA,NA,"md","znk20",70,0
"deh1i",1,43,9,NA,NA,NA,"ms","olzd0",67,0
"wuj09",0,25,9,NA,NA,NA,"md","dcg2d",52,0
"ge8fs",0,42,0,NA,NA,NA,"md","dabuy",66,0
"bm0uu",0,30,12,NA,NA,NA,"md","fld5u",61,0
"jmjgh",1,39,0,NA,NA,NA,"ms","d7q5r",70,0
"h4ci9",0,45,0,NA,NA,NA,"md","sv29k",75,0
"l10kq",0,29,6,"nbecg",62,0,"fd",NA,NA,NA
"pnbt5",1,37,9,NA,NA,NA,"ms","mrlhx",72,0
"xjhl0",0,28,6,"wxmhg",54,0,"fd",NA,NA,NA
"o9mbb",0,17,9,"rot6l",45,0,"fd",NA,NA,NA
"qihjt",0,28,9,"uzug6",62,3,"fd",NA,NA,NA
"y07ua",1,27,6,NA,NA,NA,"ms","ggi09",53,0
"ndfau",0,18,14,"uzo8w",47,2,"fd",NA,NA,NA
"a3la2",1,19,6,NA,NA,NA,"ms","x8grl",39,0
"kbz2f",0,30,3,NA,NA,NA,"md","gnst1",58,0
"rrtyx",1,21,9,"h7y0g",46,9,"fs",NA,NA,NA
"cxlpv",1,33,6,NA,NA,NA,"ms","zdkja",68,0
"hvn4s",1,21,3,NA,NA,NA,"ms","nlc2e",45,0
"gqx1t",0,25,6,"nmqlx",54,0,"fd",NA,NA,NA
"v28v0",0,25,13,"zy9a3",47,9,"fd",NA,NA,NA
"si8hn",0,38,0,"ka6b5",73,0,"fd",NA,NA,NA
"njqns",1,50,16,NA,NA,NA,"ms","marb1",72,0
"jypar",0,35,0,NA,NA,NA,"md","xx094",58,0
"j5yaq",1,45,9,NA,NA,NA,"ms","d7q5r",70,0
"mlu9r",1,45,9,NA,NA,NA,"ms","zgpi8",67,0
"ykpw4",0,36,9,NA,NA,NA,"md","ljd2v",62,0
"qn3ku",0,33,0,NA,NA,NA,"md","bls1j",71,0
"xiyno",1,32,6,"x9rqq",63,6,"fs",NA,NA,NA
"brqqp",1,20,9,"u5pd6",43,6,"fs",NA,NA,NA
