"mainsub","relathh","male","age","hhgardsize","agem","gardsizem"
1,2,2,29,2,NA,NA
1,6,1,19,5,34,5
1,1,2,67,2,NA,NA
1,2,2,40,2,NA,NA
4,5,2,21,NA,39,NA
1,2,2,31,2,NA,NA
1,5,2,5,1,27,1
1,1,2,42,3.5,NA,NA
1,6,1,13,2,37,2
1,21,2,6,1,NA,NA
1,5,2,5,2,32,2
1,1,1,34,3,NA,NA
7,1,2,48,NA,NA,NA
1,5,2,8,1.5,36,1.5
4,5,2,9,NA,25,NA
1,2,2,30,3,NA,NA
1,5,2,0,2,41,2
1,1,2,27,1.5,NA,NA
1,2,2,19,2,NA,NA
1,1,2,56,6,NA,NA
1,6,1,9,4,37,4
1,6,1,7,1.5,33,1.5
1,5,2,4,1,26,1
1,1,1,59,2,NA,NA
1,1,2,29,2,NA,NA
1,1,1,30,0.5,NA,NA
1,6,1,33,1,57,1
1,1,1,57,3,NA,NA
1,1,1,34,2,NA,NA
6,6,1,18,2,38,2
1,5,2,5,1.5,33,1.5
1,5,2,9,1,30,1
1,5,2,13,3,37,3
1,6,1,4,1,23,1
1,6,1,4,3,39,3
1,1,1,59,3,NA,NA
1,5,2,4,2,29,2
1,2,2,30,2.5,NA,NA
1,2,2,28,8,NA,NA
1,2,2,28,3.5,NA,NA
1,6,1,26,6,53,6
1,6,1,15,6,40,6
1,1,2,25,2,NA,NA
1,6,1,5,4,51,4
1,6,1,4,1,21,1
3,2,2,27,NA,NA,NA
1,6,1,17,3,50,3
1,5,2,3,3,18,3
1,5,2,9,2,29,2
1,1,1,36,4,NA,NA
3,5,2,1,NA,34,NA
1,6,1,8,3,32,3
1,24,1,7,2,NA,NA
2,1,1,27,NA,NA,NA
1,6,1,6,3,58,3
1,6,1,12,2,31,2
1,5,2,16,2,46,2
1,2,2,22,2,NA,NA
1,6,1,2,2,21,2
1,5,2,3,1,24,1
4,5,2,18,NA,39,NA
1,5,2,25,3,45,3
1,5,2,13,2,36,2
1,1,2,45,2,NA,NA
NA,5,2,0,NA,29,NA
1,6,1,17,5,48,5
1,6,1,15,5.5,33,5.5
1,6,1,0,2,23,2
1,1,1,49,3,NA,NA
1,1,1,70,0.5,NA,NA
1,6,1,8,2,27,2
1,6,1,23,1.5,59,1.5
1,6,1,4,2,34,2
1,6,1,12,3,39,3
1,6,1,13,7,45,7
1,1,1,65,3,NA,NA
1,5,2,18,4,48,4
1,1,2,58,1.5,NA,NA
1,1,2,83,1,NA,NA
1,1,1,27,2,NA,NA
1,5,2,14,3,55,3
1,5,2,12,2,27,2
1,2,2,44,2.5,NA,NA
1,5,2,1,2,25,2
1,1,1,26,2,62,4
1,6,1,17,2.5,46,2.5
1,6,1,7,3,36,3
1,2,2,41,3,NA,NA
1,6,1,12,3,35,3
1,5,2,11,5,34,5
1,6,1,16,2.5,46,2.5
1,1,1,44,2,NA,NA
1,6,1,2,1.5,37,1.5
1,1,1,39,2,NA,NA
1,5,2,6,2,24,2
1,6,1,6,2,27,2
1,1,2,74,1,NA,NA
1,5,2,11,2,35,2
1,5,2,23,4,57,4
1,2,2,30,4.5,NA,NA
1,1,1,27,1,NA,NA
1,1,1,26,4,NA,NA
1,6,1,19,3,41,3
1,5,2,5,1,23,1
1,5,2,13,1.5,33,1.5
1,5,2,10,2,33,2
1,6,1,20,6,44,6
1,1,1,52,2,NA,NA
1,1,2,42,2,NA,NA
1,6,1,7,8,27,8
1,1,1,36,1,NA,NA
1,6,1,3,8,28,8
1,5,2,16,1,32,1
1,6,1,1,2,21,2
1,1,1,32,2,NA,NA
1,5,2,1,2,30,2
4,1,1,33,NA,NA,NA
3,6,1,16,NA,40,NA
1,5,2,13,3,39,3
1,6,1,2,2,17,2
1,5,2,11,2,36,2
1,6,1,16,2,41,2
1,2,2,32,2,NA,NA
1,6,1,15,3.5,32,3.5
2,6,1,13,4,33,4
1,1,2,24,2,NA,NA
1,1,1,37,1.5,NA,NA
1,6,1,17,5,39,5
1,5,2,1,2,35,2
1,5,2,10,4,36,4
1,1,1,34,1,NA,NA
1,24,1,15,1.5,NA,NA
3,1,1,41,NA,NA,NA
1,5,2,0,3.75,25,3.75
1,5,2,8,4,35,4
1,1,1,38,2,NA,NA
1,6,1,17,2.5,38,2.5
1,5,2,0,1,20,1
1,2,2,57,3,NA,NA
1,5,2,8,4,32,4
1,2,2,48,3,NA,NA
1,6,1,3,2.5,27,2.5
1,1,2,40,3.5,NA,NA
1,6,1,14,2,35,2
1,6,1,3,2.5,23,2.5
1,21,2,15,1,NA,NA
1,6,1,6,2.5,28,2.5
1,1,1,53,2.5,NA,NA
1,1,1,22,2,NA,NA
1,1,1,22,1,NA,NA
1,20,1,13,2,NA,NA
1,6,1,16,8,45,8
4,6,1,2,NA,24,NA
3,1,1,27,NA,NA,NA
1,6,1,9,5.5,33,5.5
1,6,1,2,2.5,25,2.5
1,5,2,0,0.5,17,0.5
1,6,1,15,2,49,2
1,2,2,41,2,NA,NA
1,1,1,27,1,NA,NA
1,1,2,28,1,54,2
1,6,1,4,2,36,2
1,2,2,30,1.5,NA,NA
1,1,2,26,2.25,NA,NA
1,5,2,10,1.5,39,1.5
1,5,2,8,1,26,1
1,5,2,8,2,47,2
1,5,2,2,2,18,2
1,2,2,35,3,NA,NA
1,34,2,11,1.5,50,1.5
1,1,1,49,5,NA,NA
1,5,2,16,6.5,35,6.5
1,6,1,1,1,48,1
1,6,1,3,3,34,3
1,6,1,4,1.5,33,1.5
1,5,2,4,2.5,27,2.5
1,1,2,27,5,NA,NA
1,2,2,35,3,58,3.5
6,2,2,29,3.5,NA,NA
1,6,1,15,2,39,2
1,2,2,24,1,55,3.5
1,1,2,65,1,NA,NA
1,6,1,0,1,17,1
1,5,2,0,1.5,22,1.5
3,1,1,23,NA,NA,NA
1,6,1,0,2,24,2
1,1,1,33,2,NA,NA
7,6,1,9,NA,34,NA
1,6,1,17,3,44,3
1,1,1,30,1,NA,NA
1,6,1,3,1.5,49,1.5
1,1,2,20,1,NA,NA
1,2,2,21,2,NA,NA
1,34,2,17,3,35,3
1,1,2,47,2,NA,NA
1,6,1,29,1.5,59,1.5
1,5,2,6,2.5,46,2.5
1,6,1,15,3,52,3
4,2,2,35,NA,NA,NA
1,1,1,26,2.5,NA,NA
5,1,1,29,NA,NA,NA
1,6,1,12,1.5,37,1.5
1,5,2,5,3,31,3
1,5,2,11,2,50,2
1,1,1,25,2,NA,NA
1,1,2,-2,1,NA,NA
1,1,2,35,2,NA,NA
1,2,2,51,3,NA,NA
1,5,2,13,2,46,2
1,2,2,32,2,NA,NA
1,5,2,8,2,24,2
3,6,1,7,NA,29,NA
1,2,2,19,2,NA,NA
1,1,1,37,1,NA,NA
1,1,2,77,1,NA,NA
1,1,2,25,1,56,0.5
1,6,1,15,3,39,3
1,6,1,3,4,21,4
1,5,2,3,1,25,1
7,6,1,17,NA,34,NA
1,1,2,24,2,NA,NA
1,1,2,33,1.5,NA,NA
1,6,1,0,2.5,44,2.5
1,1,2,59,2,NA,NA
6,1,1,42,NA,NA,NA
1,1,1,45,1,NA,NA
7,8,1,18,NA,NA,NA
1,6,1,4,3,38,3
1,6,1,19,2,31,2
1,6,1,5,4,32,4
1,1,1,67,1,NA,NA
1,5,2,11,2,45,2
3,1,1,46,NA,NA,NA
1,5,2,5,3.5,22,3.5
1,6,1,13,1.5,37,1.5
1,5,2,4,1.5,25,1.5
1,6,1,7,1.5,25,1.5
1,1,1,49,1.5,NA,NA
6,5,2,18,11.5,63,11.5
1,6,1,0,1,21,1
1,5,2,3,3,35,3
1,6,1,1,2,17,2
1,6,1,1,1,23,1
1,5,2,5,2,21,2
1,6,1,8,3,33,3
1,1,1,37,3,NA,NA
1,6,1,8,2,27,2
1,18,1,3,3,NA,NA
1,54,2,13,2,NA,NA
1,6,1,18,2,49,2
4,5,2,1,NA,27,NA
1,5,2,7,3.25,31,3.25
1,6,1,15,3,49,3
1,1,2,67,2,NA,NA
1,6,1,7,3,31,3
1,5,2,22,1.5,37,1.5
1,5,2,8,3,35,3
1,6,1,23,5,48,5
5,5,2,2,NA,22,NA
1,6,1,13,2,28,2
1,5,2,3,2.5,23,2.5
1,5,2,14,3,32,3
1,17,2,21,3,NA,NA
1,6,1,4,1,43,1
1,6,1,7,1,30,1
1,2,2,22,3,NA,NA
1,1,2,59,2,NA,NA
1,6,1,1,1,19,1
1,2,2,27,1,NA,NA
1,1,2,49,1,NA,NA
4,2,2,25,NA,NA,NA
1,6,1,7,2,47,2
2,5,2,5,NA,34,NA
4,1,1,29,NA,NA,NA
1,1,1,34,3,NA,NA
1,6,1,6,2,27,2
2,1,1,37,NA,NA,NA
1,5,2,1,1.5,23,1.5
1,1,2,35,1,NA,NA
1,5,2,1,3,32,3
1,6,1,14,3,51,3
1,2,2,34,1,NA,NA
1,5,2,16,2,46,2
1,1,2,59,2,NA,NA
1,1,1,27,3,71,1
1,5,2,13,3.5,33,3.5
7,5,2,1,NA,20,NA
1,1,1,20,2,NA,NA
1,6,1,7,2,26,2
1,1,1,30,2,NA,NA
1,6,1,16,2,53,2
1,5,2,11,2.5,37,2.5
1,6,1,17,2,40,2
3,2,2,21,NA,NA,NA
1,1,1,47,2.5,NA,NA
1,1,2,31,2,NA,NA
1,1,1,37,2.5,NA,NA
1,17,2,1,3,NA,NA
1,6,1,14,3,33,3
1,5,2,8,2.5,27,2.5
1,34,2,3,2,32,2
1,6,1,7,2,24,2
1,6,1,11,7,45,7
1,1,2,26,1,NA,NA
1,5,2,0,3,33,3
1,6,1,16,15,48,15
1,5,2,22,2,42,2
1,1,1,36,2,NA,NA
1,6,1,22,1,42,1
1,2,2,31,3.25,NA,NA
1,5,2,2,2,19,2
1,6,1,5,5,34,5
1,5,2,18,3,51,3
1,6,1,5,1,43,1
2,6,1,12,2,34,2
1,6,1,1,1.5,21,1.5
1,6,1,15,2,36,2
1,6,1,19,2,53,2
1,6,1,7,2,25,2
1,2,2,21,1,NA,NA
1,5,2,7,1.5,52,1.5
1,5,2,11,4,46,4
1,6,1,0,2,18,2
1,2,2,46,2.5,NA,NA
1,6,1,4,1,27,1
1,1,1,37,2,NA,NA
1,5,2,10,4,32,4
1,2,2,45,4,NA,NA
1,5,2,3,2.5,33,2.5
1,6,1,17,8,46,8
1,5,2,6,2,37,2
1,5,2,0,3,37,3
1,5,2,24,4.5,63,4.5
1,1,1,27,2,NA,NA
1,5,2,4,1,31,1
1,5,2,5,3,23,3
1,34,2,14,4,38,4
1,5,2,0,1.5,37,1.5
1,6,1,22,2,62,2
1,5,2,9,4.5,35,4.5
3,1,1,25,1,NA,NA
1,6,1,6,2.5,27,2.5
1,1,1,33,1.5,55,3.5
1,1,1,47,3,NA,NA
1,5,2,4,3,31,3
1,5,2,0,2,27,2
1,5,2,18,4,40,4
1,1,2,54,1,NA,NA
1,8,1,11,2,NA,NA
1,5,2,2,4,20,4
1,6,1,24,2.5,55,2.5
1,5,2,5,2,27,2
1,5,2,1,1.5,26,1.5
1,35,1,19,1,36,1
1,1,1,40,4,NA,NA
1,1,1,47,2,NA,NA
1,2,2,35,1.5,NA,NA
1,2,2,21,2,NA,NA
1,2,2,46,4,NA,NA
1,1,1,59,1,NA,NA
1,1,2,29,3.5,63,4
1,6,1,17,3,59,3
1,5,2,2,2,36,2
1,35,1,18,3,41,3
1,1,2,40,2,NA,NA
1,2,2,51,3,NA,NA
1,6,1,0,2,17,2
1,6,1,21,2,49,2
7,35,1,16,NA,43,NA
1,6,1,2,2,30,2
1,5,2,8,3,39,3
1,1,2,24,2,NA,NA
1,5,2,15,2,45,2
7,1,2,25,NA,NA,NA
1,1,2,68,0.5,NA,NA
1,6,1,17,2,35,2
1,6,1,20,2,59,2
1,6,1,13,5,57,5
1,5,2,5,4,21,4
1,5,2,11,2,37,2
1,6,1,16,4,35,4
4,6,1,18,NA,55,NA
1,2,2,27,2,NA,NA
1,2,2,46,1,NA,NA
1,2,2,24,1,NA,NA
1,1,1,31,3,NA,NA
1,6,1,20,2,39,2
1,2,2,23,2.5,NA,NA
1,5,2,7,6,35,6
1,6,1,1,4,35,4
1,6,1,19,1,36,1
1,5,2,2,2,25,2
1,34,2,9,1,31,1
1,1,2,23,2.5,NA,NA
1,5,2,7,1.5,29,1.5
1,1,1,32,5,NA,NA
1,1,1,31,3,NA,NA
1,1,1,30,2,NA,NA
1,35,1,17,3.5,40,3.5
1,1,2,37,2,NA,NA
1,5,2,7,2,28,2
1,1,1,29,3,NA,NA
5,5,2,2,NA,32,NA
1,2,2,32,2.5,NA,NA
1,1,2,43,2,NA,NA
1,1,1,35,1.5,NA,NA
3,5,2,5,NA,31,NA
1,1,1,28,4.5,NA,NA
1,6,1,1,1,30,1
1,6,1,16,2,42,2
1,5,2,21,2.5,57,2.5
1,1,2,-2,2,NA,NA
1,2,2,53,3,NA,NA
6,6,1,8,2,NA,NA
1,1,2,48,1.5,NA,NA
1,17,2,2,2,17,1
2,5,2,6,4,37,4
1,5,2,15,2,34,2
1,6,1,3,1,22,1
1,2,2,27,2,NA,NA
1,1,1,55,2,NA,NA
1,5,2,5,2,22,2
1,5,2,0,2,25,2
6,5,2,11,3,29,3
1,5,2,10,2.5,33,2.5
3,6,1,2,NA,21,NA
1,2,2,30,2,NA,NA
1,5,2,10,1.5,33,1.5
1,23,2,15,3,NA,NA
1,6,1,6,3,37,3
3,2,2,17,NA,NA,NA
1,6,1,19,2,42,2
1,5,2,12,3,34,3
1,6,1,17,2,66,2
1,1,1,33,3,NA,NA
1,6,1,4,4,31,4
1,1,1,37,5.5,NA,NA
1,1,2,27,2,NA,NA
1,1,1,34,8,NA,NA
1,5,2,1,2.5,28,2.5
1,2,2,41,3,NA,NA
1,1,1,44,2,NA,NA
1,2,2,21,1.5,NA,NA
1,17,2,2,3,22,1.5
1,5,2,5,4,24,4
1,2,2,55,3.5,NA,NA
1,35,1,20,4,38,4
1,2,2,37,1,NA,NA
1,5,2,11,1.5,32,1.5
1,5,2,0,3,28,3
1,1,2,58,2,NA,NA
1,5,2,3,3,58,3
1,6,1,5,4,30,4
1,2,2,22,2,NA,NA
1,1,1,28,1,NA,NA
1,6,1,15,4.5,38,4.5
1,2,2,27,2,NA,NA
1,6,1,11,5,52,5
1,24,1,23,4.5,NA,NA
1,1,1,70,2,NA,NA
1,2,2,38,2.5,NA,NA
1,1,1,37,2.5,NA,NA
1,5,2,11,2,29,2
1,6,1,13,2.5,32,2.5
1,1,1,43,3,NA,NA
1,2,2,23,1,NA,NA
1,2,2,32,2,NA,NA
1,5,2,16,1.5,50,1.5
1,1,2,54,3,NA,NA
1,1,1,37,2,NA,NA
1,1,1,26,2,NA,NA
1,5,2,12,4,45,4
1,5,2,1,2,32,2
1,2,2,43,5.5,NA,NA
1,6,1,10,1,35,1
1,1,1,33,2,NA,NA
1,6,1,14,3.5,42,3.5
1,1,2,24,1,NA,NA
1,6,1,27,2,40,2
7,5,2,3,NA,26,NA
1,5,2,1,2.5,28,2.5
1,1,1,43,2,NA,NA
1,2,2,35,1,NA,NA
2,6,1,14,NA,NA,NA
1,18,1,10,2,NA,NA
1,5,2,27,7,37,7
1,5,2,17,1.5,35,1.5
1,2,2,42,2,NA,NA
1,6,1,1,2,28,2
1,5,2,3,2,26,2
3,2,2,24,NA,NA,NA
1,5,2,9,1,35,1
1,1,2,24,1,NA,NA
1,6,1,3,3,28,3
1,2,2,59,4.5,NA,NA
1,5,2,8,2,23,2
1,1,1,36,2,NA,NA
1,2,2,19,1,NA,NA
1,6,1,27,1,57,1
1,10,1,10,4.5,NA,NA
1,6,1,9,1.5,29,1.5
1,1,1,24,2,NA,NA
1,1,1,51,4,NA,NA
1,5,2,17,2,36,2
1,2,2,20,2,NA,NA
1,5,2,5,2,32,2
1,6,1,3,2,21,2
6,6,1,14,NA,34,NA
1,5,2,5,2,32,2
1,5,2,0,2,35,2
1,6,1,18,3.5,58,3.5
1,2,2,32,4,58,3
1,1,1,23,2,59,4
1,1,1,37,1.75,NA,NA
1,5,2,9,3.5,42,3.5
1,6,1,3,4,21,4
1,5,2,3,2,30,2
1,5,2,13,4,41,4
1,6,1,2,2,35,2
1,1,1,27,4,NA,NA
1,6,1,13,6,40,6
1,5,2,6,1.5,25,1.5
1,6,1,16,3,55,3
1,5,2,12,8,46,8
1,1,1,61,2,NA,NA
1,5,2,18,3,40,3
1,6,1,1,2,21,2
1,1,1,44,1,NA,NA
6,5,2,17,NA,47,NA
1,5,2,5,2,29,2
1,5,2,1,2,30,2
1,1,1,47,2,NA,NA
1,5,2,3,9,45,9
1,6,1,5,1,24,1
1,2,2,43,1.5,NA,NA
1,1,1,39,2,NA,NA
1,6,1,14,2,32,2
4,5,2,7,NA,28,NA
6,5,2,6,NA,23,NA
1,6,1,23,2,41,2
1,5,2,13,5,55,5
1,5,2,1,3,23,3
1,5,2,3,2.5,27,2.5
1,6,1,19,4.5,35,4.5
1,6,1,24,6,57,6
1,6,1,15,2.5,37,2.5
1,6,1,5,1,28,1
1,6,1,15,1.5,37,1.5
1,34,2,14,3,41,3
1,5,2,6,2,28,2
1,1,1,39,5,NA,NA
1,5,2,14,3,34,3
1,6,1,11,5.5,51,5.5
1,35,1,19,6,NA,NA
1,2,2,47,3,NA,NA
2,6,1,9,NA,34,NA
1,18,1,-2,1.5,NA,NA
1,5,2,12,5,36,5
1,6,1,7,5,27,5
1,1,2,27,1,NA,NA
1,1,1,37,2,NA,NA
1,9,2,4,4,NA,NA
6,6,1,12,NA,34,NA
1,5,2,11,3,38,3
1,2,2,36,5,NA,NA
1,1,1,27,2,NA,NA
1,6,1,7,2,29,2
1,6,1,7,1.5,33,1.5
6,23,2,-2,11.5,NA,NA
1,1,1,33,1.5,NA,NA
1,34,2,15,2,37,2
1,1,1,47,3,NA,NA
1,1,2,46,2,NA,NA
1,1,2,55,2,NA,NA
1,5,2,19,4.5,59,4.5
1,5,2,17,2,54,2
1,5,2,0,5,24,5
1,1,2,39,2,NA,NA
1,1,2,28,1.5,NA,NA
1,6,1,22,2,54,2
1,5,2,2,2.75,33,2.75
1,6,1,15,3,37,3
1,6,1,12,3.5,40,3.5
1,5,2,18,3.5,NA,NA
1,6,1,2,3.25,20,3.25
1,1,1,52,3,NA,NA
1,1,1,55,2,NA,NA
1,5,2,5,1,22,1
1,5,2,6,3,25,3
1,1,1,30,1.5,NA,NA
1,5,2,15,2,41,2
1,1,2,25,1.5,NA,NA
1,6,1,23,2,40,2
1,1,1,28,3.5,NA,NA
1,1,1,25,1,NA,NA
1,5,2,0,1.5,33,1.5
1,10,1,17,1.5,NA,NA
1,6,1,7,3.5,22,3.5
1,6,1,6,2,31,2
1,2,2,58,4.5,NA,NA
1,6,1,14,5,35,5
1,5,2,16,4,45,4
1,1,1,29,5.5,NA,NA
1,1,1,29,2,NA,NA
1,5,2,19,2,52,2
1,6,1,2,2,25,2
1,2,2,21,2,NA,NA
1,1,1,34,1.5,NA,NA
1,2,2,33,3,NA,NA
1,2,2,22,2.5,NA,NA
1,6,1,14,5,58,5
1,5,2,8,1,24,1
1,1,1,27,1.75,NA,NA
2,1,1,30,NA,NA,NA
6,5,2,15,NA,47,NA
1,5,2,10,6.5,35,6.5
1,1,2,54,2.5,NA,NA
1,6,1,5,1,37,1
1,1,2,29,2,NA,NA
4,5,2,11,NA,25,NA
1,6,1,13,1,39,1
1,5,2,18,3.25,47,3.25
1,6,1,12,2,29,2
1,6,1,16,3,53,3
1,1,1,62,4,NA,NA
1,5,2,16,2,47,2
1,6,1,2,1.5,25,1.5
1,6,1,17,5,55,5
1,1,1,-2,2.5,NA,NA
1,5,2,5,1,35,1
1,6,1,1,1,24,1
1,5,2,8,4,28,4
1,5,2,23,1,43,1
1,1,1,37,3,NA,NA
1,1,1,33,1.5,NA,NA
1,5,2,6,5,35,5
1,5,2,6,2.5,44,2.5
1,6,1,2,2.5,30,2.5
1,5,2,3,2,21,2
1,1,1,38,1.5,NA,NA
1,1,1,27,3,NA,NA
5,2,2,24,NA,NA,NA
1,6,1,17,5,34,5
1,2,2,30,2,NA,NA
1,6,1,15,2.5,37,2.5
1,6,1,2,1.5,27,1.5
2,2,2,33,NA,NA,NA
1,6,1,21,2,55,2
1,5,2,5,3.75,25,3.75
1,1,1,28,2,NA,NA
1,1,2,20,1,62,4
1,6,1,27,2.5,51,2.5
1,2,2,61,2.5,NA,NA
1,5,2,10,4.5,30,4.5
1,1,1,26,1,NA,NA
1,5,2,23,2,51,2
1,1,1,49,3,74,4.5
2,6,1,12,4.5,31,4.5
1,6,1,2,2.5,31,2.5
1,5,2,7,1,31,1
1,21,2,4,3.5,NA,NA
1,2,2,25,2,NA,NA
1,5,2,11,1.5,38,1.5
1,1,2,29,4,NA,NA
1,2,2,33,1.5,58,1.5
1,6,1,5,1.5,30,1.5
1,2,2,26,1.5,NA,NA
1,5,2,3,2,34,2
1,6,1,5,3,24,3
1,6,1,5,2,27,2
1,6,1,6,2.5,39,2.5
1,2,2,22,1.5,NA,NA
2,6,1,3,2,34,2
1,1,1,32,2,NA,NA
1,5,2,0,2,25,2
1,6,1,11,1,28,1
1,5,2,17,2,65,2
7,5,2,3,NA,27,NA
1,5,2,2,2,23,2
1,1,2,33,1,68,0.5
1,5,2,13,4,38,4
1,5,2,1,1.5,21,1.5
1,5,2,13,3,45,3
2,2,2,37,4,NA,NA
1,5,2,0,2,21,2
1,2,2,25,2,NA,NA
1,5,2,10,3.5,25,3.5
2,2,2,34,NA,NA,NA
1,2,2,25,3.75,NA,NA
1,1,1,51,2.5,NA,NA
1,6,1,24,2,61,2
1,6,1,9,3,42,3
1,5,2,6,6.5,47,6.5
1,17,2,9,2,NA,NA
1,2,2,40,2,NA,NA
1,1,2,33,3.5,59,2
3,5,2,0,NA,29,NA
1,5,2,1,2.5,27,2.5
1,6,1,17,1.5,43,1.5
1,1,1,37,2.75,NA,NA
1,2,2,24,2,54,1
1,1,1,25,1.5,NA,NA
1,6,1,8,4,33,4
1,6,1,17,3,63,3
1,5,2,28,4.5,48,4.5
1,5,2,10,2.5,32,2.5
1,6,1,3,3,27,3
1,6,1,9,8,46,8
1,2,2,31,2,54,2
1,5,2,22,1,50,1
1,6,1,0,2,35,2
1,6,1,21,2.5,45,2.5
6,1,1,37,NA,NA,NA
1,6,1,17,4.5,38,4.5
1,1,1,26,2,NA,NA
1,6,1,2,2.5,25,2.5
1,1,1,78,1,NA,NA
1,2,2,32,2,NA,NA
1,1,1,28,1,NA,NA
1,5,2,22,6,57,6
1,1,1,28,2,NA,NA
1,6,1,2,3,26,3
1,1,1,30,1,NA,NA
1,2,2,25,3,-2,1
1,6,1,6,3,33,3
1,6,1,6,1,27,1
2,6,1,9,NA,33,NA
1,1,1,26,1.5,NA,NA
1,6,1,23,1,55,1
1,6,1,7,2,31,2
1,2,2,26,4,NA,NA
1,1,1,25,2,NA,NA
1,2,2,34,3,NA,NA
1,6,1,15,4,38,4
1,1,1,41,2,NA,NA
1,6,1,0,2,25,2
1,2,2,18,2,NA,NA
1,6,1,7,4,22,4
1,1,1,48,3.5,NA,NA
0,6,1,1,NA,27,NA
1,6,1,5,2,32,2
1,6,1,16,1,45,1
1,2,2,29,2,NA,NA
1,6,1,7,3,58,3
1,1,2,47,2,NA,NA
5,2,2,25,1.5,NA,NA
1,17,2,4,0.5,NA,NA
1,47,1,24,3,NA,NA
1,6,1,2,2.5,26,2.5
1,6,1,15,1,43,1
6,2,2,25,2,NA,NA
1,6,1,6,2,25,2
1,5,2,7,5,31,5
1,6,1,11,2,39,2
1,5,2,8,1.5,NA,NA
1,1,2,40,3.5,NA,NA
1,35,1,18,2.5,44,2.5
2,5,2,12,NA,34,NA
1,1,1,26,2,NA,NA
1,6,1,0,2,34,2
1,6,1,20,3,55,3
1,1,1,50,1,NA,NA
7,2,2,19,NA,NA,NA
2,5,2,1,4.5,31,4.5
1,1,2,26,2.5,55,2
1,1,1,45,4.5,NA,NA
1,6,1,0,2.5,28,2.5
6,6,1,19,NA,47,NA
1,6,1,33,4,59,4
1,6,1,16,5.5,32,5.5
1,6,1,10,2,27,2
1,1,1,33,3,NA,NA
7,1,2,24,NA,NA,NA
6,1,1,52,NA,NA,NA
4,10,1,14,NA,NA,NA
1,1,1,30,3,NA,NA
1,2,2,53,3,NA,NA
1,6,1,0,3,39,3
1,6,1,5,2,32,2
1,5,2,14,3,57,3
1,5,2,8,2,29,2
1,1,2,28,1,NA,NA
1,5,2,17,2,40,2
1,1,2,49,2,NA,NA
1,5,2,14,4,32,4
1,5,2,11,2,35,2
1,5,2,3,2,35,2
1,6,1,2,1,31,1
1,5,2,11,3,35,3
1,1,2,62,2,NA,NA
1,1,1,38,5,NA,NA
1,6,1,11,5.5,33,5.5
1,2,2,25,3,NA,NA
1,1,2,25,1.5,68,5
1,1,1,40,3,NA,NA
1,5,2,9,6,35,6
1,6,1,5,4,23,4
1,2,2,28,2,NA,NA
1,6,1,20,1,31,1
1,2,2,21,2,NA,NA
1,5,2,7,3,41,3
1,5,2,1,1.5,25,1.5
1,1,1,40,2,NA,NA
1,1,2,36,1.5,NA,NA
1,6,1,7,2.5,26,2.5
1,1,2,21,6,NA,NA
1,6,1,6,2,30,2
4,6,1,8,NA,41,NA
1,1,2,57,3,NA,NA
1,2,2,23,1.5,NA,NA
1,6,1,14,3,38,3
1,2,2,57,6,NA,NA
1,5,2,8,3,34,3
6,6,1,5,1.5,25,1.5
1,6,1,10,2,34,2
1,2,2,21,2,NA,NA
1,5,2,1,1.5,21,1.5
7,34,2,4,NA,43,NA
6,6,1,9,NA,30,NA
1,6,1,5,2,25,2
1,1,1,30,2.5,NA,NA
1,2,2,47,2,64,1
1,1,1,43,2.5,NA,NA
1,1,2,34,2,NA,NA
1,8,1,20,5,NA,NA
1,5,2,2,1,23,1
1,1,1,35,2,NA,NA
1,5,2,12,3,38,3
1,5,2,12,2.5,32,2.5
1,6,1,21,5,39,5
1,1,1,33,2,NA,NA
1,6,1,13,3,51,3
4,2,2,22,NA,NA,NA
8,18,1,3,NA,NA,NA
1,5,2,17,2,53,2
4,1,2,29,NA,NA,NA
1,6,1,7,2,31,2
1,5,2,4,1,24,1
1,2,2,28,2.5,NA,NA
1,2,2,24,2,54,2
6,5,2,1,2,27,2
1,2,2,35,2,58,1.5
1,6,1,3,2,25,2
1,17,2,3,5,NA,NA
1,5,2,1,2,25,2
1,2,2,37,2,NA,NA
1,5,2,2,2,25,2
1,2,2,23,1.75,NA,NA
1,6,1,0,2,36,2
1,6,1,22,2,64,2
3,6,1,0,NA,19,NA
1,6,1,5,2,35,2
1,6,1,0,1,25,1
1,5,2,1,3,18,3
1,2,2,36,2,NA,NA
1,5,2,18,0.5,NA,NA
1,1,1,29,2,NA,NA
1,6,1,7,1.5,37,1.5
1,1,1,23,3.25,NA,NA
1,35,1,9,2.5,27,2.5
1,5,2,12,2,38,2
1,1,2,25,1,NA,NA
1,1,1,35,4,NA,NA
1,6,1,6,1,25,1
1,5,2,18,2.5,55,2.5
1,2,2,53,4,NA,NA
1,6,1,1,2.5,33,2.5
1,1,1,31,4,NA,NA
1,5,2,12,15,48,15
1,6,1,6,2,24,2
1,6,1,1,1,21,1
1,5,2,17,2,36,2
1,5,2,3,2,20,2
1,18,1,21,1,NA,NA
2,6,1,5,NA,28,NA
1,5,2,4,2,28,2
1,2,2,33,3,NA,NA
1,6,1,7,2,45,2
1,5,2,4,2.5,29,2.5
1,1,1,25,2.5,NA,NA
1,6,1,15,2,49,2
1,1,2,59,2,NA,NA
1,8,1,16,2,NA,NA
1,1,2,24,1,59,2
1,6,1,1,3,35,3
1,5,2,0,2,30,2
1,5,2,4,2,31,2
1,6,1,10,2,30,2
1,1,2,51,2,NA,NA
6,2,2,28,0.5,46,2
