"mainsub","relathh","male","age","hhgardsize","agem","gardsizem"
1,5,2,1,2,24,2
1,2,2,17,2,NA,NA
1,6,1,13,3,48,3
1,5,2,10,2,26,2
1,1,1,29,1.5,NA,NA
1,1,1,36,2,NA,NA
1,2,2,45,1.5,NA,NA
6,6,1,7,3,27,3
6,2,2,27,2,53,3.5
5,1,1,29,NA,NA,NA
1,5,2,3,4,25,4
1,37,1,25,2,NA,NA
1,2,2,31,2,NA,NA
1,1,2,22,1,NA,NA
1,2,2,21,2,45,3
1,1,2,47,3,NA,NA
1,6,1,7,5.5,33,5.5
1,6,1,7,3.5,23,3.5
4,5,2,18,NA,40,NA
1,5,2,15,1,37,1
1,6,1,8,5.5,32,5.5
6,6,1,3,NA,23,NA
1,1,1,60,2.5,NA,NA
1,2,2,18,2,NA,NA
1,6,1,7,1.5,26,1.5
1,2,2,21,2.5,NA,NA
1,5,2,4,3,33,3
1,5,2,15,1.5,43,1.5
1,5,2,16,2,51,2
4,6,1,16,NA,39,NA
1,6,1,5,2.5,38,2.5
1,5,2,3,3,42,3
1,1,2,49,2,NA,NA
1,2,2,37,3,NA,NA
1,6,1,3,1.5,24,1.5
1,6,1,15,2,36,2
1,6,1,10,2.5,27,2.5
1,6,1,5,3,30,3
1,7,2,9,2,NA,NA
1,1,2,57,1,NA,NA
1,5,2,10,4,29,4
1,1,1,36,3.75,NA,NA
1,6,1,13,3,48,3
1,6,1,1,4,30,4
3,1,1,25,NA,NA,NA
1,6,1,13,2,45,2
1,6,1,6,7,37,7
1,5,2,14,2,32,2
1,6,1,1,1.5,26,1.5
1,2,2,23,3.5,NA,NA
1,6,1,3,2,29,2
1,5,2,12,2.5,46,2.5
1,6,1,23,2,48,2
1,2,2,17,2,NA,NA
1,1,2,21,4,NA,NA
4,1,2,29,NA,NA,NA
1,5,2,0,3,41,3
1,5,2,8,2.5,27,2.5
1,2,2,23,3,NA,NA
4,5,2,14,NA,40,NA
1,2,2,23,4,NA,NA
1,1,2,32,2,NA,NA
1,5,2,1,4,27,4
1,6,1,13,1,43,1
1,2,2,34,2,49,2
1,6,1,2,2,25,2
1,6,1,7,4.5,29,4.5
1,6,1,1,2,25,2
1,2,2,18,3,NA,NA
1,6,1,13,1,37,1
1,34,2,12,3.5,37,3.5
1,1,1,38,2,NA,NA
1,6,1,7,2,25,2
1,1,2,25,1.5,NA,NA
1,1,1,57,6,NA,NA
1,6,1,3,1,20,1
1,5,2,10,4,43,4
1,2,2,52,3,NA,NA
1,6,1,11,2,32,2
1,2,2,33,3.5,55,2
1,1,1,22,2,NA,NA
6,47,1,25,18,NA,NA
1,5,2,0,3,21,3
1,6,1,4,2,45,2
1,6,1,10,2,29,2
1,2,2,49,1.5,NA,NA
1,6,1,4,2,22,2
1,2,2,69,1,NA,NA
1,2,2,35,2.5,NA,NA
1,6,1,15,3,35,3
2,5,2,1,NA,33,NA
1,2,2,58,2,NA,NA
1,1,1,40,2,NA,NA
1,1,1,76,3,NA,NA
1,1,1,35,2,NA,NA
1,1,1,35,1,NA,NA
1,2,2,38,4,NA,NA
8,1,2,36,NA,53,3
1,1,1,25,5,NA,NA
1,5,2,8,2,25,2
1,5,2,18,2,41,2
3,1,1,37,NA,NA,NA
1,5,2,16,4,36,4
1,5,2,13,2,53,2
1,2,2,21,2,NA,NA
1,5,2,13,3,44,3
1,2,2,20,2,50,1.5
1,1,1,65,4,NA,NA
1,1,1,32,2.5,NA,NA
1,1,1,57,2.5,NA,NA
1,1,2,37,3,NA,NA
1,2,2,21,1,NA,NA
1,1,2,48,4,NA,NA
1,1,1,67,1,NA,NA
1,17,2,13,7,NA,NA
1,1,1,18,0.5,NA,NA
1,6,1,10,4,32,4
1,2,2,39,2,NA,NA
1,2,2,30,1,NA,NA
1,1,2,34,2,NA,NA
1,5,2,42,5,77,5
1,6,1,1,1.5,33,1.5
1,6,1,7,3,27,3
1,1,2,24,2,NA,NA
1,2,2,20,4,NA,NA
1,6,1,10,2,41,2
1,1,1,29,3,NA,NA
1,1,2,65,7,NA,NA
1,1,1,30,3.5,NA,NA
